,MATERIAL_ID,CATEGORY,0,1,2,3,4,5,6,7,8,9
17,27,zipper,DD,Zipper,"YKK  No.5 nylon coil zippers hidden chain ,auto-lock slider DA8LH1 (zipper closes UP)",1 internal pocket at w.'s inside LEFT,1,CAMEL 161,BLACK,BLACK,OXBLOOD 097,AB18MJ2_081
18,28,other,EE,Zipper Pull,ABZP_01 Utility cord zipper pullers with tied end  (supplied by Wei Rong),"(2) pockets, (1) C.F. (2) vents,  (1) inside pocket",6,BLACK,BLACK,BLACK,BLACK,AB18MJ2_081
19,31,other,FF,Stoppers,Round Barrel stopper - K-018 ,(2) hood,2,BLACK,BLACK,DARK OLIVE,BLACK,AB18MJ2_081
20,32,other,GG,Stoppers,K343-2N push stoppers,(2) bottom hem,2,BLACK,BLACK,DARK OLIVE,BLACK,AB18MJ2_081
21,33,other,HH,Hand Pulls,Plastic hand pulls ZP11 , (2) bottom hem,2,BLACK,BLACK,DARK OLIVE,BLACK,AB18MJ2_081
22,34,other,II,Webbing,"Flat Webbing Tape, 8mm", key clip attachment at inside wearer's right pocket,1,BLACK,BLACK,BLACK,BLACK,AB18MJ2_081
23,35,other,JJ,Webbing,flat webbing tape 8mm width, (2)Stopper attachments loops at bottom hem,2,BLACK,BLACK,BLACK,BLACK,AB18MJ2_081
24,36,other,KK,Hardware,"metal eyelets, 12mm (incl. washers)","(4) at hood opening,  (4) inside bottom hem",8,DARK ANTI BRASS BI-18,DARK ANTI BRASS BI-18,DARK ANTI BRASS BI-18,DARK ANTI BRASS BI-18,AB18MJ2_081
25,37,other,LL,Hardware,"Snap Buttons ABSNP_01 (sets), 17mm (incl. washers)"," (6) C.F., (2) cuffs, (1) snap tabs at inside bottom hem,  (2) at powder skirt",11,DARK ANTI BRASS BI-18,DARK ANTI BRASS BI-18,DARK ANTI BRASS BI-18,DARK ANTI BRASS BI-18,AB18MJ2_081
26,38,other,MM,Hardware,Male snap only (incl. washers),(2) powder skirt (2) cuffs,4,DARK ANTI BRASS BI-18,DARK ANTI BRASS BI-18,DARK ANTI BRASS BI-18,DARK ANTI BRASS BI-18,AB18MJ2_081
27,39,other,NN, Drawcord,Flat Shoelace drawcord WITH Black Oxidize finish METAL ENDS  w: 1 cm ,hood,1,BLACK,BLACK,DARK OLIVE,BLACK,AB18MJ2_081
28,40,other,OO,Elastic Drawcord, 2.5 mm elastic cord,bottom hem adjustment,1,BLACK,BLACK,DARK OLIVE,BLACK,AB18MJ2_081
29,41,other,PP,Key Clip,plastic key clip attched with webbing loop,Inside wearers right pocket.,1,BLACK,BLACK,BLACK,BLACK,AB18MJ2_081
30,42,label,QQ,Main Label,ABWV_67 Freedom Main Label,"inside c.b. neck, see Q/A for placement",1,GOLD/BLACK,GOLD/BLACK,GOLD/BLACK,GOLD/BLACK,AB18MJ2_081
31,43,label,RR,Size Label,ABWV_69V Vietnam Size Label,sewn in and centered below main label,1,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD,AB18MJ2_081
32,44,label,SS,W/C Label,Satin Label with print,"wearer's left side seam, 10 cm up from bottom edge",1,BLACK,BLACK,BLACK,BLACK,AB18MJ2_081
33,45,label,TT,ABWVLP_01 Woven loop,ABWVLP_01 (Supplied by SML),inside center back neck seam,1,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD,AB18MJ2_081
34,46,label,VV,Branding,ABPA_22 Workwear Label,"LEFT chest, see art placement page for detail",1,BROWN,BROWN,BROWN,BROWN,AB18MJ2_081
35,49,interfacing,WW,HANGTAG,TBD,TBD,1,TBD,TBD,TBD,TBD,AB18MJ2_081
36,50,interfacing,XX,HANGTAG,TBD,TBD,1,TBD,TBD,TBD,TBD,AB18MJ2_081
37,51,other,YY,polybag w/ warning matter,Airpill Logo Print:  16 cm,centered on poly bag,1,CLEAR,CLEAR,CLEAR,CLEAR,AB18MJ2_081
38,52,interfacing,ZZ,Country of Origin sticker (supplied by your side),Made in China sticker,Centered above UPC sticker,1,TBD,TBD,TBD,TBD,AB18MJ2_081
39,53,interfacing,AAA,UPC sticker (supplied by your side),Sticker width 3.5 cm,Lookers right bottom corner,1,TBD,TBD,TBD,TBD,AB18MJ2_081
40,58,zipper,3,ZIPPER DIRECTION:,"CF has right hand slider, pocket zippers close down, vents zips close DOWN",,,,,,,
41,60,other,5,HEAT CUT:,"Elastic, webbing, taffeta",,,,,,,
