,style,description ,ref,Fabric,Trims,Supplier,location,Qty,Color way-1,Color way-2,Color way-3,Color way-4,Color way-5
618,lfv11493,drawstring 12 mm width + plastic tips,wb104-e,0,1,wilson group,1x waist adjustement,1,nan,nan,nan,nan,nan
619,lfv11493, embroidery lafuma 60mm,nan,0,1,local / ming shuang,right top front,1,40013,30051,nan,nan,nan
620,lfv11493,embroidery leaf 20mm,nan,0,1,local / ming shuang,left top sleeve,1,40013,30051,nan,nan,nan
621,lfv11493,woven label windactive,lw051-e,0,1,triple star,bottom left back,1,black,nan,nan,nan,nan
622,lfv11493,"lafuma labels
",lw034-e,0,1,sml,neckline / centered ,1,orange ,nan,nan,nan,nan
623,lfv11493,"size woven label mmg 
alpha women /top",lws18-04,0,1,sml,neckline / centered ,1,standard,nan,nan,nan,nan
624,lfv11493,care label & p.o. label,lc011-e,0,1,sml,left side seam ,1,white satin ,nan,nan,nan,nan
625,lfv11493, hang tag,nan,0,1,nan,nan,nan,nan,nan,nan,nan,nan
626,lfv11493,hang tag low impact,ht394299-e,0,1,triple star,nan,1,standard,nan,nan,nan,nan
627,lfv11493,hangtag lafuma corporate,"small 
ht-394082-e",0,1,triple star,left side pocket zipper,1,standard,nan,nan,nan,nan
628,lfv11493,hangtag lafuma windactive ,"
small
ht-396073-e",0,1,triple star,insert on corporate hang tag ,1,standard,nan,nan,nan,nan
629,lfv11493,hang tag pfc free,ht394145-e,0,1,triple star,nan,1,standard,nan,nan,nan,nan
630,lfv11493,gencode sticker,nan,0,1,local,nan,2,nan,nan,nan,nan,nan
631,lfv11493,"silica gel dmf u free
5gr",nan,0,1,local,nan,1,nan,nan,nan,nan,nan
632,lfv11493,polybag,nan,0,1,local,nan,1,nan,nan,nan,nan,nan
633,lfv11494,"shell 1
dt-1598",nan,1,0,drytex,body,nan,asphalte,port royal,north sea,nan,nan
634,lfv11494,cotton touch fabric,nan,1,0,local,"full storm flap
bottom, bottom sleeves & hood finishing",nan,"dark shadow 19-3906 tcx
colour  should 
match the backing","dark shadow 19-3906 tcx
","dark shadow 19-3906 tcx
",nan,nan
635,lfv11494,"polyester mesh
",nan,1,0,local,pocket bag,nan,"dark shadow 19-3906 tcx
colour  should 
match the backing","dark shadow 19-3906 tcx
","dark shadow 19-3906 tcx
",nan,nan
636,lfv11494,"non woven
",nan,1,0,local,"embroideries backside
+storm flap",nan,standard,standard,standard,nan,nan
637,lfv11494,"zipper vislon # 5 
1way - separable - autolock
",nan,0,1,"max
zipper",1x front zip,1,"tape : 156
teeth : dark nickel","tape : 864
teeth : dark nickel","tape : 118
teeth : dark nickel",nan,nan
638,lfv11494,"zipper invisible #3
1way - non separable - non lock  - drop puller
sn31wma",nan,0,1,"max
zipper",2x hands pocket ,2,156,864,118,nan,nan
639,lfv11494,cord puller,zp072-e,0,1,dragon times,1x front zipper,1,black,black,north sea,nan,nan
640,lfv11494,marking,nan,0,1,nan,nan,nan,nan,nan,nan,nan,nan
641,lfv11494, embroidery lafuma 60mm,nan,0,1,local / ming shang,right top front,1,40013,f196,30061,nan,nan
642,lfv11494,embroidery leaf 20mm,nan,0,1,local / ming shang,left top sleeve,1,40013,f196,30061,nan,nan
643,lfv11494,labels,nan,0,1,nan,nan,nan,nan,nan,nan,nan,nan
644,lfv11494,woven label windactive,lw051-e,0,1,triple star,bottom left back,1,black,nan,nan,nan,nan
645,lfv11494,"lafuma labels
",lw034-e,0,1,sml,neckline / centered ,1,orange ,nan,nan,nan,nan
646,lfv11494,"size woven label mmg 
alpha women /top",lws18-04,0,1,sml,neckline / centered ,1,standard,nan,nan,nan,nan
647,lfv11494,care label & p.o. label,lc011-e,0,1,sml,left side seam ,1,white satin ,nan,nan,nan,nan
648,lfv11494, hang tag,nan,0,1,nan,nan,nan,nan,nan,nan,nan,nan
649,lfv11494,hang tag low impact,"small
ht394299-e",0,1,triple star,nan,1,standard,nan,nan,nan,nan
650,lfv11494,hangtag lafuma corporate,"small      
ht-394082-e",0,1,triple star,left side pocket zipper,1,standard,nan,nan,nan,nan
651,lfv11494,hangtag lafuma windactive ,"small
ht-396073-e",0,1,triple star,insert on corporate hang tag ,1,standard,nan,nan,nan,nan
652,lfv11494,hang tag pfc free,ht394145-e,0,1,triple star,nan,1,standard,nan,nan,nan,nan
653,lfv11494,gencode sticker,nan,1,0,local,nan,2,nan,nan,nan,nan,nan
654,lfv11494,"silica gel dmf u free
5gr",nan,1,0,local,nan,1,nan,nan,nan,nan,nan
655,lfv11494,polybag,nan,1,0,local,nan,1,nan,nan,nan,nan,nan
656,lfv11543,"delrin zipper #5
1 way  - separable - auto-lock
sd51ma.rt",nan,0,1,"max
zipper",front zip,1,"dark grey
156","black
580","poppy
818",nan,nan
657,lfv11543,"zipper vislon # 3 - 1way - separable - left insert
 vsor-36 da e p12 kensin musi n-anti newkob4",nan,0,1,"ykk
zipper","front zip (inside jkt)
 / 3in1 system",1,"dark grey
156","black
580","poppy
818",nan,nan
658,lfv11543,"nylon zipper inverted #5
1 way  - non separable - non lock
sn52max",nan,0,1,"max
zipper",hands pockets under flap,2,"dark grey
183","black
580","poppy
818",nan,nan
659,lfv11543,cord puller,zp072-e,0,1,dragon times,front opening (1),1,black,black,poppy,nan,nan
660,lfv11543,"12mm flat metal snap  
(male & female)
invisible",nan,0,1,local,"5x front opening 
2x cuff
5x hood + collar",12,antic silver,antic silver,antic silver,nan,nan
661,lfv11543,"12mm flat metal snap  
male part",nan,0,1,local,2x cuff,2,antic silver,antic silver,antic silver,nan,nan
662,lfv11543,"12mm flat metal snap  
female part",nan,0,1,local,3x top collar,3,antic silver,antic silver,antic silver,nan,nan
663,lfv11543,"2,5mm elastic cord ",nan,0,1,local,"waist adjustment  inside pkt (1)
hood adjustment (1)",2,black,black,black,nan,nan
664,lfv11543,"mmg cord stopper
20mm+slit",eis15u-xmstp01,0,1,unitex,"waist adjustment  inside pkt (2)
hood adjustment (2)",4,black,black,black,nan,nan
665,lfv11543,plastic pearl,cp-a1,0,1,unitex,"waist adjustment  inside pkt (2) 
hood adjustment (2)",4,black,black,black,nan,nan
666,lfv11543,10mm metal eyelet,nan,0,1,local,"hood adjustment (4)
waist adjustment  inside pkt (4)",8,antic silver,antic silver,antic silver,nan,nan
667,lfv11543,5mm polyester webbing ,eis15u-xmtre01,0,1,yf zipper,"waist adjustment  (2)
hood adjustment (2)",4,noir,noir,noir,nan,nan
668,lfv11543,12mm nylon webbing ,nan,1,0,local,"jkt connection 
bottom sleeve (2)
back neckline (1)",3,black,black,black,nan,nan
669,lfv11543,10mm plastic snap,nan,1,0,local,"jkt connection 
bottom sleeve (2)
back neckline (1)",3,black,black,black,nan,nan
670,lfv11543,"velcro female ( rounded corner) velvet
20x100mm",nan,1,0,local,"back hood adjustment
on  garment  ",1,ton/ton,ton/ton,ton/ton,nan,nan
671,lfv11543,"velcro male ( rounded corner) hook
20x60mm",nan,1,0,local,"back hood adjustment 
on  flap ",1,ton/ton,ton/ton,ton/ton,nan,nan
672,lfv11543,"zipper vislon # 3 - 1way - separable - reversible puller - right insert
vsor-38 du2 e p12 kensin musi n-anti newkob4",nan,0,1,"ykk
zipper",front zip,1,"black
580","black
580","poppy
818",nan,nan
673,lfv11543,mmg webbing 5mm width,eis15u-xmtre01,0,1,yf zipper,jkt connection,3,noir,noir,poppy,nan,nan
674,lfv11543,embroidery  lafuma 60 mm,nan,0,1,local,right front / top,1,"dark grey
40028","tarmac
s489","poppy
186",nan,nan
675,lfv11543,embroidery lafuma feuille 20 mm,nan,0,1,local,left sleeve / top,1,"dark grey
40028","tarmac
s489","poppy
186",nan,nan
676,lfv11543,woven label climactive,lw050-e,0,1,triple star,"insert in left side seam
7cm from bottom finish edge",1,black,black,black,nan,nan
677,lfv11543,"woven label
",lw034-e,0,1,sml,neckline / centered ,1,nan,nan,nan,nan,nan
678,lfv11543,"size woven label mmg 
alpha women /top",lws18-04,0,1,sml,neckline / centered ,1,nan,nan,nan,nan,nan
679,lfv11543,care label & p.o. label,lc011-e,0,1,local,left side seam ,1,nan,nan,nan,nan,nan
680,lfv11543,labels inner jkt,nan,0,1,nan,nan,nan,nan,nan,nan,nan,nan
681,lfv11543,printed tape 5mm,wb108-e,0,1,dragon times,neckline / centered ,1,nan,nan,nan,nan,nan
682,lfv11543,"size woven label mmg 
alpha women /top",lws18-04,0,1,sml,neckline / centered ,1,nan,nan,nan,nan,nan
683,lfv11543,care label & p.o. label,lc011-e,0,1,local,left side seam ,1,nan,nan,nan,nan,nan
684,lfv11543,hang tag mix & match,ht394325/ne,0,1,triple star,front zipper,1,standard,nan,nan,nan,nan
685,lfv11543,hangtag lafuma corporate,"small
ht-394082-e
",0,1,triple star,left pocket zipper,1,standard,nan,nan,nan,nan
686,lfv11543,hang tag climactive,"small
ht394146-e",0,1,triple star,insert inside corporate ht,1,standard,nan,nan,nan,nan
687,lfv11543,hang tag pfc free,ht394145-e,0,1,triple star,nan,1,standard,nan,nan,nan,nan
688,lfv11543,gencode sticker,nan,0,1,local,nan,2,nan,nan,nan,nan,nan
689,lfv11543,"silica gel dmf u free
5gr",nan,0,1,local,nan,1,nan,nan,nan,nan,nan
690,lfv11543,polybag,nan,0,1,local,nan,1,nan,nan,nan,nan,nan
691,lfv11538,"shell 1
06302 5k/5k libolon",nan,1,0,nan,"body
",nan,ink/noir,heather grey,anthracite grey,nan,nan
692,lfv11538,taffetas lining 210 t ( local sourcing),nan,1,0,nan,"body
sleeves
hood
pocket bags",nan,black,black,black,nan,nan
693,lfv11538,seam tape  ( local sourcing),nan,0,1,nan,"critical (shoulders, hood, neckline, armhole)",nan,clear,clear,clear,nan,nan
694,lfv11538,non woven ( local sourcing),nan,1,0,nan,flaps + embroideries backside,nan,black,black,black,nan,nan
695,lfv11538,fabric   inner jkt,nan,1,0,nan,nan,nan,nan,nan,nan,nan,nan
696,lfv11538,"shell 2
e3400 asia pacific",nan,1,0,nan,"inner jkt  
",nan,saphir,noir,noir,nan,nan
697,lfv11538,taffetas lining 210 t ( local sourcing),nan,1,0,nan,inside sleeves  ,nan,black,black,black,nan,nan
698,lfv11538,non woven ( local sourcing),nan,1,0,nan,embroideries backside,nan,standard,standard,standard,nan,nan
699,lfv11538,mesh ( local sourcing),nan,1,0,nan,pockets bags,nan,black,black,black,nan,nan
700,lfv11538,"zipper vislon # 8 - 
1way - separable- autolock
vs0-v-86 dalh",vs0-v-86 dalh,0,1,shz,front zip ,1,"eclipse blue
tape : 960
teeth : dark nickel","grey
tape : 301
teeth : dark nickel","black
tape : 580
teeth : dark nickel",nan,nan
701,lfv11538,"inverted coil #5 - 
1way- non separable -non lock
sn52max",nan,0,1,"max
zipper",hands pockets ,2,"eclipse blue
 960","grey
301","black
580",nan,nan
702,lfv11538,"zipper vislon #5 - left insert
 1way - separable - autolock
vsor-56 da86 e p14 kensin musi n-anti newkob4",nan,0,1,"ykk 
zipper",connected zipper on lining,1,"eclipse blue
 960","grey
301","black
580",nan,nan
703,lfv11538,"inverted coil #3 - 1way - 
non separable - non lock - drop puller
sn31wdm ",nan,0,1,"max
zipper",inner pocket ,1,"eclipse blue
 960","grey
301","black
580",nan,nan
704,lfv11538,cord puller,zp072-e,0,1,dragon times,front opening (1),1,black,black,black,nan,nan
705,lfv11538,"12mm flat metal snap  
(male & female) 5 (nvisible)",nan,0,1,local,hood & collar (4),4,dark antic ,dark antic ,dark antic ,nan,nan
706,lfv11538,"12mm flat metal snap  
male part",nan,0,1,local,cuff tab (4),4,dark antic ,dark antic ,dark antic ,nan,nan
707,lfv11538,"12mm flat metal snap  
female part",nan,0,1,local,"cuff tab (2)
collar flap  (2)",4,dark antic ,dark antic ,dark antic ,nan,nan
708,lfv11538,"metal nail 08 mm  
",nan,0,1,local,hands pocket end ,4,dark antic ,dark antic ,dark antic ,nan,nan
709,lfv11538,"2,5mm elastic cord ",nan,0,1,local,"bottom adjustment (1)
hood adjustment ( 1)",2,black ,black ,black ,nan,nan
710,lfv11538,"mmg cord stopper
20mm+slit",eis15u-xmstp01,0,1,unitex,"bottom adjustment  (1)
hood adjustment ( 2)",3,black ,black ,black ,nan,nan
711,lfv11538,plastic pearl,cp-a1,0,1,unitex,hood adjustment  (2),2,black ,black ,black ,nan,nan
712,lfv11538,10mm metal eyelet,nan,0,1,local,"hood adjustment (4)
bottom adjustment  (2)",6,antic silver,antic silver,antic silver,nan,nan
713,lfv11538,5mm polyester webbing ,eis15u-xmtre01,0,1,yf zipper,"bottom adjustment  (2)
hood adjustment (2)",4,black,black,black,nan,nan
714,lfv11538,12mm nylon webbing ,nan,0,1,local,"jkt connection 
neckline  (1)
sleeves connection(2)",3,black ,black ,black ,nan,nan
715,lfv11538,8mm plastic snap,nan,0,1,local,"jkt connection 
neckline  (1)
sleeves connection(2)",3,black ,black ,black ,nan,nan
716,lfv11538,"velcro female ( rounded corner)
20x100mm",nan,0,1,local,"back hood adjustment
on  garment  ",1,ton/ton,ton/ton,ton/ton,nan,nan
717,lfv11538,"velcro male ( rounded corner)
20x60mm",nan,0,1,local,"back hood adjustment 
on  flap ",1,ton/ton,ton/ton,ton/ton,nan,nan
718,lfv11538,nan,ref ,0,1,supplier,designation,qty,insigna blue,carbone grey,insigna blue,nan,nan
719,lfv11538,"zipper vislon # 5 - 1way - right insert
vsor-58 du4 e p14 kensin musi n-anti newkob4",nan,0,1,"ykk
zipper",front zip,1,"eclipse blue
960","black
580","black
580",nan,nan
720,lfv11538,mmg webbing 5mm width,eis15u-xmtre01,0,1,yf zipper,"jkt connection 
neckline  (1)
sleeves connection(2)",3,saphir,noir,noir,nan,nan
721,lfv11538,elastic binding total width 20mm,eb011-e,0,1,wilson group, cuff hem,2,saphir,noir,noir,nan,nan
722,lfv11538,embroidery  lafuma 72 mm,nan,0,1,local / ming shyang,right front / top,1,"eclipse blue
30055","grey
40031","black
9000",nan,nan
723,lfv11538,"embroidery lafuma 
feuille 20 mm",nan,0,1,local / ming shyang,left sleeve / top,1,"eclipse blue
30055","grey
40031","black
9000",nan,nan
724,lfv11538,"woven label
",lw034-e,0,1,sml,neckline / centered ,1,orange ,nan,nan,nan,nan
725,lfv11538,"size woven label mmg 
men alpha/top",lws18-01,0,1,sml,neckline / centered ,1,orange ,nan,nan,nan,nan
726,lfv11538,care label & p.o. label,"lc011-e
(l1latph00.)",0,1,sml,left side seam ,1,white satin ,nan,nan,nan,nan
727,lfv11538, climactive woven fly,lw050-e,0,1,local,"insert in left side seam
7cm from bottom finish edge",1,"standard
black",nan,nan,nan,nan
728,lfv11538,printed tape 5mm,wb108-e,0,1,dragon times,neckline / centered ,1,orange ,nan,nan,nan,nan
729,lfv11538,"size woven label mmg 
men alpha/top",lws18-01,0,1,sml,neckline / centered ,1,orange ,nan,nan,nan,nan
730,lfv11538,care label & p.o. label,"lc011-e
(l1latph00.)",0,1,sml,left side seam ,nan,white satin ,nan,nan,nan,nan
731,lfv11538, hang tag,nan,0,1,nan,nan,nan,nan,nan,nan,nan,nan
732,lfv11538,hangtag lafuma corporate,"small
ht-394082-e
",0,1,triple star,left side pocket,1,standard,nan,nan,nan,nan
733,lfv11538,hang tag climactive,"small
ht394146-e",0,1,triple star,insert inside corporate ht,1,standard,nan,nan,nan,nan
734,lfv11538,hang tag pfc free,ht394145-e,0,1,triple star,back of corporate ht,1,standard,nan,nan,nan,nan
735,lfv11538,gencode sticker,nan,0,1,local,nan,2,standard,nan,nan,nan,nan
736,lfv11538,"silica gel dmf u free
5gr",nan,0,1,local,nan,1,nan,nan,nan,nan,nan
737,lfv11538,polybag,nan,0,1,local,for garment packing ,1,nan,nan,nan,nan,nan
