,material,interfacing
159,", , 2mm shockcord, custom braid, , , , hood",0
160,", , 7mm thread eyelet, thread eyelet, , , , back of hood adjustment shockcord exit",0
161,", , thad01p10gbk10, 10mm reflective perf tape, , , , cb neck",0
162,", , rht-004, reflective heat transfer, , , , front left chest",0
163,", , rht-009, reflective heat transfer, , , , right bicep",0
164,", , laser cut holes, laser cut holes, , , , under venting flap (front & back)",0
165,", , w_t43_bd, heat transfer main interior label w/size/country, , , , interior cb neck",0
166,", , sco-lb-adrs    , address/rn & ca #s           , , , , under normal care label      ",0
167,", , 8mm grosgrain , grosgrain, , , , locker loop",0
168,", , ccl-094, care content labels, , , , interior left side seam",0
169,", , ccl-001, care content labels, , , , interior left side seam",0
170,", , po label, po label- for bulk only!, , , , under normal care label      ",0
171,", , 4560, collar, chest, sleeves, back yoke, back body, , , , ",0
172,", , sck-757s, cuffs, hem collar facing, , , , ",0
173,", , gramax thread, normal flatlock, , , , cb yoke and top collar",0
174,", , dp-634, direct matte print, , , , upper left chest",0
175,", , dp-755, direct matte print, , , , left cuff",0
176,", , ats, ats, , , , collar drawcord exit",0
177,", , w-int-20, w's main interior label           , , , , cb neck seam      ",0
178,", , 8mm grosgrain ribbon    , grosgrain ribbon           , , , , cb neckseam locker loop      ",0
179,", , sco-41    , country of origin           , , , , cb neck seam under main interior label      ",0
180,", , tba, care content labels, , , , left side seam",0
181,", , ccl-ht-lb, heat transfer washing instruction label, , , , behind care label",0
182,", , sco-lb-can-, customs label, , , , left side seam behind care label",0
183,", , po label, po label- for bulk only!, , , , left side seam",0
184,", , w-ht-lay, w's layering hangtag         , , , , left side       ",0
185,", , hangtag pin, pin for hangtags, , , , left side       ",0
186,", , fit-ht-gen, general fit insert, , , , insert",0
187,", , fit-ht-athl, athletic fit hangtag, , , , left side",0
188,", , duro-ht-uv-2, duroshade hangtag, , , , insert",0
189,", , mapp    , mapp hangtag        , , , , left side",0
190,", , sck-757s, shell fabric at collar, upper sleeves, upper chest, upper back, lower front body, lower back body, windflap at collar, zipper tape finish, inner placket binding, , , , ",0
191,", , sck-757s, shell fabric at underarms, lower sleeves, middle front body, middle back body, , , , ",0
192,", , st967 double weave, bonded overlay at lower right pocket, , , , ",0
193,", , cfc-39 dsbsos02a (h3)       , #3 coil, closed end, dsbsos02a slider, , , , cf zipper",0
194,", , cfc-36 dablh (e)           , #3 coil, closed end, dablh slider, , , , lower right pocket ",0
195,", , zp-562/3    , pop in puller           , , , , lower right pocket",0
196,", , gramax thread, normal flatlock, , , , all flatlock seams",0
197,", , dp-634, direct matte print, , , , upper left front",0
198,", , dp-755, direct matee print, , , , left sleeve at cuff",0
199,", , w-int-size, w's main interior label           , , , , cb neck seam      ",0
200,", , 8mm grosgrain ribbon    , grosgrain ribbon           , , , , cb neckseam locker loop      ",0
201,", , ccl-149, care content labels, , , , left side seam",0
202,", , po label, po label- for bulk only!, , , , left side seam",0
203,", , w-ht-lay, w's layering hangtag         , , , , left side       ",0
204,", , hangtag chain, chain for hangtag, , , , left side       ",0
205,", , fit-ht-gen, general fit insert, , , , insert",0
206,", , fit-ht-athl, athletic fit hangtag, , , , top of hang tag",0
207,", , duro-ht-4s-2, duroxpand hangtag, , , , insert",0
208,", , duro-ht-uv-2, duroshade hangtag, , , , insert",0
209,", , fe529-a, hood, collar, front body, inner sleeves, back body, cb, windflap, , , , ",0
210,", , fe529-a, shoulders and outer sleeves, sleeve zipper garage, , , , ",0
211,", , cifor-56 da8blh (e) , #5 coil, open end, right insert, da8blh slider , , , , cf zipper",0
212,", , cfc-36 dablh (e), #3 coil, closed end, dablh slider, , , , sleeve pocket",0
213,", , chc-36 dadr2a (e), #3 invisible coil, closed end, dadr2a , , , , hand pockets",0
214,", , zp-561/5    , pop in puller- #5       , , , , cf zipper",0
215,", , zp-562/3    , pop in puller- #3        , , , , sleeve pocket",0
216,", , 3/4"" foldable lycra, 3/4"" foldable lycra, , , , hood, cuff, and hem",0
217,", , gramax thread, normal flatlock, , , , hood, cf, front body, cb body, hem",0
218,", , gramax thread, normal flatlock, , , , shoulder and sleeves",0
219,", , dp-634, direct matte print           , , , , upper left front chest",0
220,", , dp-755, direct matte print           , , , , lower left sleeve",0
221,", , lc holes, laser cut holes, , , , cf collar",0
222,", , w-int-size, w's main interior label           , , , , cb neck seam      ",0
223,", , 8mm grosgrain ribbon    , grosgrain ribbon           , , , , cb neckseam locker loop      ",0
224,", , ccl-001, care content labels, , , , left side seam",0
225,", , po label, po label- for bulk only!, , , , left side seam",0
226,", , w-ht-lay, w's layering hangtag         , , , , left side       ",0
227,", , hangtag chain, chain for hangtag, , , , left side       ",0
228,", , fit-ht-gen, general fit insert, , , , insert",0
229,", , fit-ht-athl, athletic fit hangtag, , , , top of hang tag",0
230,", , dryo-ht-wr-2, dryozone dwr hangtag, , , , insert",0
231,", , duro-ht-uv-2, duroshade hangtag, , , , insert",0
232,", , #9068 powerdry, fabric at main body front and back, collar, sleeves, windflap, , , , ",0
233,", , please source, mesh, , , , cf zipper tape finish, windflap edge, hand pocket bags",0
234,", , l1025 sw, non woven interlining, , , , windflap",0
235,", , cifor-39 dsbyg (h3), #3 coil, open end, right insert, dsbyg slider, , , , cf zipper",0
236,", , cfc-36 dablh (e), #3 coil, closed end, dablh slider , , , , hand pocket zippers",0
237,", , zp-561/5    , pop in puller           , , , , cf zipper",0
238,", , zp-562/3    , pop in puller           , , , , hand pockets",0
239,", , normal flatlock stitch, flatlock stitch, , , , all seams",0
240,", , dp-634, direct matte print, , , , left chest",0
241,", , dp-755, direct matte print, , , , right cuff",0
242,", , phtw-15 , polartec heat transfer , , , , right hem",0
243,", , w-int-20, w's main interior label , , , , cb neck",0
244,", , 8mm grosgrain webbing, webbing, , , , locker loop",0
245,", , sco-41    , country of origin           , , , , cb neckseam      ",0
246,", , ccl-020, care content labels, , , , left side seam",0
247,", , po label, po label- for bulk only!, , , , left side seam",0
248,", , w-ht-lay, w's layering hangtag         , , , , chain at left sleeve pocket",0
249,", , hangtag chain, chain for hangtag, , , , left side       ",0
250,", , fit-ht-gen, general fit hang tag, , , , chain at left sleeve pocket",0
251,", , fit-ht-ath, athletic fit hangtag, , , , chain at left sleeve pocket",0
252,", , ppg-15, polartec powergrid hangtag, , , , chain at left sleeve pocket",0
253,", , porptec-15, polartec polygeine hangtag, , , , chain at left sleeve pocket",0
254,", , meln135, collar, collar facing, shoulder and upper inside sleeve, back yoke, , , , ",0
255,", , meln135, front body, outer and lower sleeves, back body, , , , ",0
256,", , please source, mesh           , , , , lower right pocket bag",0
257,", , fs-1175, self fabric binding, , , , cf zipper tape finish, interior seam binding at armholes only",0
258,", , cifor-56 da8blh1 (e)           , #5 coil, open end, left insert, da8blh1 slider , , , , cf zipper",0
259,", , chc-36 dadr2a (e), #3 invisible coil, closed end, dadr2a , , , , lower right pocket",0
260,", , zp-561/5    , pop in puller- #5       , , , , cf zipper",0
261,", , 3/4"" foldable lycra, 3/4"" foldable lycra, , , , cf, collar, hem, and cuff",0
262,", , dp-634, direct matte print           , , , , left front chest",0
263,", , dp-755, direct matte print           , , , , left cuff",0
264,", , w-int-size, w's main interior label           , , , , cb neck seam      ",0
265,", , 8mm grosgrain ribbon    , grosgrain ribbon           , , , , cb neckseam locker loop      ",0
266,", , ccl-001, care content labels, , , , left side seam",0
267,", , po label, po label- for bulk only!, , , , left side seam",0
268,", , w-ht-lay, w's layering hangtag         , , , , left side       ",0
269,", , hangtag chain, chain for hangtag, , , , left side       ",0
270,", , fit-ht-gen, general fit insert, , , , insert",0
271,", , fit-ht-athl, athletic fit hangtag, , , , top of hang tag",0
272,", , dryo-ht-wr-2, dryozone dwr hangtag, , , , insert",0
273,", , duro-ht-uv-2, duroshade hangtag, , , , insert",0
274,", , sw8337s-p1 printed, shell fabric at waistband, front and back legs
lining fabrics at  back pocket bag, fly gusset, interior waistband, , , , ",0
275,", , ssb-150256, shell fabric at waistband, front and back legs
lining fabrics at  back pocket bag, fly gusset, interior waistband, , , , ",0
276,", , sw8337s-p1 printed, shell fabric at hem binding, , , , ",0
277,", , ssb-150256, shell fabric at hem binding, , , , ",0
278,", , sw8337s-p1 printed, shell fabric at right and left of front waistband, , , , ",0
279,", , ssb-150256, shell fabric at right and left of front waistband, , , , ",0
280,", , cfc-39 dsbyg (h3), #3 coil, closed end, dsbyg slider, , , , back pocket zipper",0
281,", , please source lace , lace with clear plastic tip, , , , cf waistband",0
282,", , metal eyelets, metal eyelets, , , , cf waistband",0
283,", , film overlay, film overlay, , , , back pocket window frame",0
284,", , ht-30, heat transfer, , , , front right waistband",0
285,", , ht-31, heat transfer, , , , back right pocket on the film overlay",0
286,", , ht -14, reflective heat transfer 1.25"", , , , left side seam near hem",0
287,", , five12-m-int-ht-l, main interior heat transfer label, , , , interior cb waistband   ",0
288,", , please source, perforated care content label , , , , left waistband seam  ",0
289,", , ssb-150256, shell fabric at hood, front and back body, sleeves, hand pocket bags, , , , ",0
290,", , sw8337s-p1 printed, shell fabric at hood, front and back body, sleeves, hand pocket bags, , , , ",0
291,", , cifor-39 dsbyg (h3), #3 coil, open end, right insert, dsbyg slider , , , , cf zipper",0
292,", , cfc-39 dsbyg (h3), #3 coil, closed end, dsbyg slider, , , , hand pocket zippers",0
293,", , cfc-39 dsbyg (h3) p12 kensin n-anti p-top reverse rx39 , #3 coil, closed end, dsbyg slider, , , , hand pocket zippers",0
294,", , please source, 1/4"" elastic, , , , cuffs, sides of hood",0
295,", , please source shockcord, 2.5mm shockcord, , , , hood adjustment",0
296,", , p481s001, rubber puller , , , , hem adjustment, back hood adjustment      ",0
297,", , pca224, cordlock, , , , back of hood ",0
298,", , 10mm grosgrain ribbon, grosgrain ribbon           , , , , anchor for pca224 cordlock at back hood",0
299,", , thread eyelet, thread eyelet, , , , back of hood adjustment shockcord exit",0
300,", , ht-01, heat transfer 2.25"", , , , bottom left under hand pocket",0
301,", , ht-02, reflective heat transfer 6"" strip, , , , back bottom center",0
302,", , ht-14, reflective heat transfer 1.25"", , , , right bicep",0
303,", , five12-w-int-ht-l, main interior heat transfer label, , , , interior cb neck          ",0
304,", , five12-m-int-ht-l, main interior heat transfer label, , , , interior cb neck          ",0
305,", , self fabric locker loop, self fabric locker loop use shell #1, , , , locker loop",0
306,", , womens care label, perforated care content label , , , , left side seam",0
307,", , mens care label , perforated care content label , , , , left side seam",0
308,", , sck-2369s (sgb-141907), shell fabric at front body, back body, sleeves, neckband, rolled hem and cuffs, , , , ",0
309,", , ht-24, reflective heat transfer 1"", , , , centered below back neck",0
310,", , five12-m-int-ht-l, main interior heat transfer label, , , , interior cb neck          ",0
311,", , please source, perforated care content label , , , , left side seam",0
312,", , sck-2265 ice caf, shell fabric on full body, legs and gusset, , , , ",0
313,", , tonal flatlock stitching, ns thread  , , , , rise, gusset, inseam, rolled hem",0
314,", , five12-elastic-01, logo elastic 1.5"", , , , waistband",0
315,", , ht - 14, reflective logo heat transfer, , , , 6"" up from bottom on back calf",0
316,", , five12-w-int-ht-l, main interior heat transfer label, , , , interior cb waistband   ",0
317,", , sck 2265 ice caf, shell fabric at waistband, interior waistband, front and back legs, rolled cuffs, back pocket bag, , , , ",0
318,", , flatlock stitching, flatlock stitching    , , , , under waistband, rise, gusset, inseam and outseam",0
319,", , cfc-39 dsbyg (h3), #3 coil, closed end, dsbyg slider, , , , back pocket zipper",0
320,", , please source, lace, , , , interior waistband",0
321,", , ht-04, heat transfer, , , , front left waistband       ",0
322,", , ht -14, reflective heat transfer, , , , back waistband",0
323,", , five12-w-int-ht-l, main interior heat transfer label, , , , interior cb waistband   ",0
324,", , tba, perforated care content label , , , , left waistband seam  ",0
325,", , sck 2265 ice caf, shell fabric at hood, front and back body, sleeves, collar, rolled hem and cuffs, , , , ",0
326,", , sck 2265 ice caf, shell fabric at underarm gussets, , , , ",0
327,", , contrast coverstitching, ns thread, , , , armhole, underarm gussets, side seams",0
328,", , cfc-39 dsbyg (h3), #3 coil, closed end, dsbyg slider, , , , cf half zipper",0
329,", , please source, lace, , , , hood adjustment",0
330,", , thread eyelet, sewn thread eyelets, , , , hood adjustment",0
331,", , ht-03, heat transfer, , , , upper cb centered",0
332,", , five12-w-int-ht-l, main interior heat transfer label, , , , interior cb neck          ",0
333,", , self fabric locker loop, self fabric locker loop use shell #1, , , , locker loop",0
334,", , tba, perforated care content label , , , , left side seam",0
335,", , sck-464 ice caf ., shell fabric at waistband and interior waistband, back pocket bag, , , , ",0
336,", , sw-8337 s caf, shell fabric and front and back legs, , , , ",0
337,", , sw-8337 s caf, self fabric binding on hem and side seams, , , , ",0
338,", , contrast stitching, 3 rows of single needle, , , , below waistband",0
339,", , cfc-39 dsbyg (h3), #3 coil, closed end, dsbyg slider, , , , back pocket zipper",0
340,", , please source, lace, , , , interior waistband",0
341,", , ht-04, heat transfer, , , , front left waistband       ",0
342,", , ht-14, reflective heat transfer, , , , back waistband center",0
343,", , five12-w-int-ht-l, main interior heat transfer label, , , , interior cb waistband   ",0
344,", , tba    , perforated care content label , , , , left waistband seam  ",0
345,", , sw -8337 s cafe, shell fabric at hood, front and back body, sleeves, hand pocket bags, , , , ",0
346,", , sw -8337 s cafe, shell fabric at underarms, , , , ",0
347,", , sck-464 ice caf, fabric at internal hood face sheild, , , , ",0
348,", , sck-464 ice caf, self fabric binding at edge of face sheild, , , , ",0
349,", , cifor-39 dsbyg (h3), #3 coil, open end, right insert, dsbyg slider , , , , cf zipper",0
350,", , cfc-39 dsbyg (h3), #3 coil, closed end, dsbyg slider, , , , hand pocket zippers",0
351,", , please source, 1/4"" elastic, , , , cuffs, hem, cb hood, sides of hood",0
352,", , ht-01, heat transfer, , , , bottom left under hand pocket",0
353,", , ht-02, reflective heat transfer, , , , back bottom center",0
354,", , ht-14, reflective heat transfer, , , , right bicep",0
355,", , five12-w-int-ht-l, main interior heat transfer label, , , , interior cb neck          ",0
356,", , self fabric locker loop, self fabric locker loop use shell #1, , , , locker loop",0
357,", , tba, perforated care content label , , , , left side seam",0
358,", , sck-2265 ice caf, shell fabric on full body, legs and gusset, , , , ",0
359,", , tonal flatlock stitching, ns thread  , , , , rise, gusset/inseam, rolled, hem",0
360,", , five12-elastic-01, logo elastic 1.5"", , , , waistband",0
361,", , five12-w-int-ht-l, main interior heat transfer label, , , , interior cb waistband   ",0
362,", , tba, perforated care content label , , , , left waistband seam  ",0
363,", , sck-464 ice caf, shell fabric at front and back body, sleeves, collar, interior collar, rolled hem and cuffs, , , , ",0
364,", , contrast coverstitching, ns thread, , , , armholes, side seams, back seams",0
365,", , ht-14, reflectice heat transfer, , , , upper cb centered",0
366,", , five12-w-int-ht-l, main interior heat transfer label, , , , interior cb neck          ",0
367,", , tba, perforated care content label , , , , left side seam",0
368,", , 340gms 80% cotton/20% polyester sweatshirt fabric, shell fabric at hood, front body, back body, sleeves, pocket
facing fabric at rolled facing at pocket edge, , , , ",0
369,", , 80% cotton/20% polyester rib knit sweatshirt fabric, shell fabric at collar, cuffs, hem, , , , ",0
370,", , 340gms 80% cotton/20% polyester sweatshirt fabric, lining, , , , interior hood",0
371,", , please source, herringbone cotton webbing/tape, , , , interior back neckseam",0
372,", , please source, 0.5"" flat drawcord (end is folded and stitched, no tips), , , , front hood adjustment",0
373,", , please source, metal eyelet (opening is 0.375""), , , , front hood adjustment drawcord exit",0
374,", , please source, interior main label, , , , interior back neck",0
375,", , please source, care label, , , , interior left side seam",0
376,", , please source, main hangtag, , , , tag pin inserted throught left underarm seam",0
377,", , 340gms 80% cotton/20% polyester sweatshirt fabric, shell fabric at front body, back body, sleeves , , , , ",0
378,", , 80% cotton/20% polyester rib knit sweatshirt fabric, shell fabric at collar, cuffs, hem , , , , ",0
379,", , please source, herringbone cotton webbing/tape, , , , interior back neckseam",0
380,", , please source, interior main label, , , , interior back neck",0
