,0,1,2,3,4,5,6,7
19, 11nt-045 / self fabric pull ,factory made,lining pocket vertical,1,match to shell,match to shell,match to shell,match to shell
21,branded trims,supplier/ reference number,location,amount,rust / black,ink / gunmetal,black,vintage camo broken twill
22,"l1-2018-trim-010
faux leather backed snap",luks,front placket chin & hem (working),3 sets,sas54 pseudo anti silver/brown faux leather,doxcp dull oxidized copper/ brown faux leather,doxcp dull oxidized copper/ brown faux leather,doxcp dull oxidized copper/ brown faux leather
23,"l1-2018-trim-010
faux leather backed snap ",luks,waist,1 (cap only),sas54 pseudo anti silver/brown faux leather,doxcp dull oxidized copper/ brown faux leather,doxcp dull oxidized copper/ brown faux leather,doxcp dull oxidized copper/ brown faux leather
24,"l1-2018-trim-003
faux leather patch",please source supplier,front right hand pocket,1,brown faux leather,brown faux leather,brown faux leather,brown faux leather
25,"l1-2018-trim-024/  l1 embroidery small
3cm x 2.77cm  ",soluna,left sleeve hem,1,match to shell,match to shell,match to shell,match to shell
26,"l1-2018-trim-025 /
l1 embroidery large
3.7cm x 3.4cm  ",soluna,back right,1,match to shell,match to shell,match to shell,match to shell
28,trims,supplier/ reference number,location,amount,rust / black,ink / gunmetal,black,vintage camo broken twill
29,15mm metal snap,luk's / 404,powder skirt - front closure,"2 female, 4 male",al023 alloy (d) cap / sas54 pseudo anti silver,al023 alloy (d) cap / doxcp oxidized copper,al023 alloy (d) cap / doxcp oxidized copper,al023 alloy (d) cap / doxcp oxidized copper
30,15mm metal snap,luk's / 404,snap away powder skirt - lining facing ,1 male 1 female,sas54 pseudo anti silver,doxcp oxidized copper,doxcp oxidized copper,doxcp oxidized copper
31,15mm metal snap,luk's / 404,powder skirt - jacket to pant connection,3 sets,al023 alloy (d) cap / sas54 pseudo anti silver,al023 alloy (d) cap / doxcp oxidized copper,al023 alloy (d) cap / doxcp oxidized copper,al023 alloy (d) cap / doxcp oxidized copper
32,metal eyelets 8mm,luk's / et04,hood cord exit front,2 per side = 4,sas54 pseudo anti silver,doxcp oxidized copper,doxcp oxidized copper,doxcp oxidized copper
33,metal eyelets 8mm,luk's / et04,hem cord exit,2 per side = 4,sas54 pseudo anti silver,doxcp oxidized copper,doxcp oxidized copper,doxcp oxidized copper
34,cord lock: small cord lock with tie down,sun sun/ sv160824-2a,front hood adjust,1 per side = 2,19-1540 tcx rust, 19-4010 tcx ink,19-4006 tcx black,19-4006 tcx black
35,cord lock,sv160819-4a,hem adjust exposed at lining,1 per side = 2,19-1540 tcx rust, 19-4010 tcx ink,19-4006 tcx black,19-4006 tcx black
36,bead,sv160725-1a,hem adjust,1 per side = 2,19-1540 tcx rust, 19-4010 tcx ink,19-4006 tcx black,19-4006 tcx black
37,metal drawcord tip,see photo,hood shockcord tips,1 per side = 2,sas54 pseudo anti silver,doxcp oxidized copper,doxcp oxidized copper,doxcp oxidized copper
38,keyclip,as production,right hand pocket,1,black,black,black,black
40,notions,supplier/ reference number,location,amount,rust / black,ink / gunmetal,black,vintage camo broken twill
41,"grosgrain 1/4""",none,attach front hood cord lock,1 per side = 2,black,black,black,black
42,"grosgrain 3/8""",none,attach hem cord lock,1 per side = 2,black,black,black,black
43,"grosgrain 1/4""",none,attach keyclip right hand pocket ,1,black,black,black,black
44,"grosgrain 3/4"" x  3 1/2"" flat webbing (finished length)",none,powder skirt - side tabs jacket to pant connection ,2,black,black,black,black
45,"shell fabric tab  1"" x 1"" wrap around ",none,jacket to pant connection center back on tab,1,match to shell,match to shell,match to shell,match to shell
46,"shell fabric tab  1"" x 1"" wrap around ",none,jacket to pant connection center back under snap on gripper elastic,1,match to shell,match to shell,match to shell,match to shell
47,"shell fabric tab 3/4"" x  1"" ",none,jacket to pant connection at side tabs under snaps,1 per side = 2,match to shell,match to shell,match to shell,match to shell
48,"elastic 1"" x 4""",none,powder skirt middle tab - jacket to pant connection ,1,black,black,black,black
49,elastic ,none,back of sleeve cuffs,1,available,available,available,available
50,"elastic 1/4"" ",none,cable guide,1,black,black,black,black
51,gripper elastic 25mm non logo,mtt0022,powder skirt hem,1,black,black,black,black
52,elastine binding,none,goggle pocket binding,1,black,black,black,black
53,l1-2018-trim-030 2-color shockcord 3.5mm (heathered 2 color mix) ,"example: cw15-065
chun wo ho (please source)",hood & hem,1,"2- color shock cord =
colorway: 2
19-1540 tcx rust/
19-4006 tcx black","2- color shock cord =
colorway: 6
19-4010 tcx ink /
18-0403 tcx gunmetal","2- color shock cord =
colorway: 1
19-4006 tcx black/
18-0403 tcx gunmetal","2- color shock cord =
colorway: 1
19-4006 tcx black/
18-0403 tcx gunmetal"
55,velcro,supplier/ reference number,location,amount,rust / black,ink / gunmetal,black,vintage camo broken twill
56," 1/2"" x 1 1/2"" velcro with rounded corners","paiho / loop#1057, paiho / hooketn7",chin,1,match to shell,match to shell,match to shell,black
57," 1/2"" x 3 velcro with rounded corners","paiho / loop#1057, paiho / hooketn7",center front placket,4,match to shell,match to shell,match to shell,black
58,"1/2"" x 2"" velcro with rounded corners","paiho / loop#1057, paiho / hooketn7",pocket flaps,2 per side = 4,match to shell,match to shell,match to shell,black
59,"1"" x 3 3/4"" velcro with rounded corners",paiho / loop#1057,cuff on body,1 per side = 2,match to shell,match to shell,match to shell,black
60,"1"" x 2 1/2"" velcro with rounded corners",paiho / hooketn7,cuff on tab,1 per side = 2,match to shell,match to shell,match to shell,black
62,thread,spi,supplier/ ref number,amount,rust / black,ink / gunmetal,black,vintage camo broken twill
63,seams,10-12 spi,Feb-30,none,match to shell,match to shell,match to shell,match to shell
64,topstitch,8-10 spi,Feb-30,none,match to shell,match to shell,match to shell,match to shell
65,bartacks,none,100/2,none,match to shell,match to shell,match to shell,match to shell
66,sleeve gaiter cover stitch,must be stretch thread,none,none,match to shell,match to shell,match to shell,match to shell
68,labels ,supplier/ reference number,location,amount,rust / black,ink / gunmetal,black,vintage camo broken twill
69,10k/10k critically taped,soluna/ main label,center back below neck seam,1,10k/10k critically taped,none,none,none
70,size label (sample size l),soluna/ size label,center back below main label,1,"xs, s, m, l, xl",none,none,none
72,hang tags,supplier/ reference number,location,amount,rust / black,ink / gunmetal,black,vintage camo broken twill
73,mens jacket hang tag,soluna/ mens jacket hang tag,left side hand pocket zipper,1,mens jacket hang tag,none,none,none
76,care and content labels,supplier/ reference number,location,amount,rust / black,ink / gunmetal,black,vintage camo broken twill
77,address label,factory sourced,lining left side seam,1,address label,none,none,none
78,content label,factory sourced,lining left side seam,1,content label,none,none,none
79,washing label,factory sourced,lining left side seam,1,washing label,none,none,none
