,BILL OF MATERIALS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
76,"#1414
14MM PLASTIC STOCK SNAP (SET)",,POWDER SKIRT,,BLACK,,,,,4,SET,,,
77,"#1414
14MM PLASTIC STOCK SNAP (MALE PART)",,POWDER SKIRT 2ND ROW FOR ADJUSTMENT ,,BLACK,,,,,2,PC,,,
78,"#9375
YKK 28L MIXED METAL SNAP",,"STORM FLAP(2 set+2 cap), HAND POCKET FLAP(4 set)",,"#2034
BSX/CHIC BLACK",,,,,8,PC,,,
79,"15MM
YKK 24L METAL SNAP",,CUFF ADJUSTMENT,,X6 BLACK OXIDES,,,,,2,PC,,,
80,STOCK GRIPPER,,POWDER SKIRT,,BLACK,,,,,,YD,,,
81,12MM NON-LOGO GROMMET,,BACK HOOD DRAWCORD EXIT ,,ANTIQUE BRASS,,,,,1,PC,,,
82,10MM NON-LOGO GROMMET,,"FRONT HOOD DRAWCORD EXIT(4), BOTTOM HEM DRAWCORD EXIT(6)",,ANTIQUE BRASS,,,,,10,PC,,,
83,20MM ELASTINE BINDING,,"MEDIA POCKET CORD OUTLET, INNER MESH POCKET",,BLACK,,,,,,YD,,,
84,10MM TAPE,,ZIP TO PANT ZIPPER TAPE BACK SIDE CLEAN FINISH BINDING,,BLACK,,,,,,YD,,,
85,"VELCRO 3"" L x 1/2"" W HOOK & LOOP",,STORM FLAP(4),,,,,,,,YD,,,
86,VELCRO 4” L x 3/4” W LOOP,,CUFF ADJUSTMENT,,,,,,,,YD,,,
87,"VELCRO 2"" L x 3/4"" W HOOK",,CUFF ADJUSTMENT,,,,,,,,YD,,,
88,,,,,,,,,,,,,,
89,PACKAGING,,,,,,,,,QTY,UOM,,,
90,Article Number/Description,,Placement,,,,,,,,,,,
91,Main Ride hang tag,,Front left pocket with UPC sticker,,,,,,,1,PCS,,,
92,Poly Bag,,"1 garment per bag with Ride logo, UPC sticker on outside of bag",,,,,,,1,PCS,,,
93,Content Label,,Under powder skirt,,,,,,,1,PCS,,,
94,Wash Label,,Under powder skirt,,,,,,,1,PCS,,,
95,Poly Label,,Under powder skirt,,,,,,,1,PCS,,,
