,,MATERIAL_ID,CATEGORY,,,position,,color_way,color_way,color_way,color_way
10,10.0,22.0,other,"L1-2018-TRIM-010
faux Leather backed Snap",LUKS,FRONT WAIST BAND,2,SAS54 PSEUDO ANTI SILVER / BLACK FAUX LEATHER,SAS54 PSEUDO ANTI SILVER / BLACK FAUX LEATHER,SAS54 PSEUDO ANTI SILVER / BLACK FAUX LEATHER,SAS54 PSEUDO ANTI SILVER / BLACK FAUX LEATHER
11,11.0,23.0,other,"L1-2018-TRIM-012
Heat Transfer Label  ",PLEASE SOURCE,BACK RIGHT POCKET BAG,1,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD
12,12.0,24.0,fabric,"L1-2018-TRIM-015 
L1 Injection mold logo",PLEASE SOURCE,FRONT LEFT HEM,1,2 mm EMBOSS OF THE SHELL FABRIC,2 mm EMBOSS OF THE SHELL FABRIC,2 mm EMBOSS OF THE SHELL FABRIC,2 mm EMBOSS OF THE SHELL FABRIC
13,13.0,27.0,other,15MM METAL SNAP,LUK'S / 404,BACK GAITER/ PANT HEM,1 PER SIDE = 2,AL023 ALLOY (D),AL023 ALLOY (D),AL023 ALLOY (D),AL023 ALLOY (D)
14,14.0,28.0,other,BOOT HOOK,XXX,FRONT GAITER,1 PER SIDE = 2,AL023 ALLOY (D),AL023 ALLOY (D),AL023 ALLOY (D),AL023 ALLOY (D)
15,15.0,29.0,other,KEYCLIP,AS LAST YEAR PRODUCTION,RIGHT LEG POCKET,1,BLACK,BLACK,BLACK,BLACK
16,16.0,32.0,other,SELF FABRIC TAB 1X1,FACTORY,FRONT GAITER UNDER BOOT HOOK,1 PER SIDE = 2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
17,17.0,33.0,other,SELF FABRIC TAB 1X1,FACTORY,BACK GAITER UNDER FINGER SNAP HEM ADJUST,1 PER SIDE = 2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
18,18.0,34.0,other,"GROSSGRAIN 1/4""",FACTORY,ATTACH KEY CLIP IN RIGHT LEG POCKET,1,BLACK,BLACK,BLACK,BLACK
19,19.0,35.0,fabric,"GROSSGRAIN 1/4""",FACTORY,BALLS OUT VENTING MESH GUARD,1,BLACK,BLACK,BLACK,BLACK
20,20.0,36.0,other,GRIPPER ELASTIC 25mm NON LOGO,MTT0022,LEG GAITERS,2,BLACK,BLACK,BLACK,BLACK
21,21.0,39.0,interfacing,BONDING FILM,,FLY OPENING,1,BONDING FILM,BONDING FILM,BONDING FILM,BONDING FILM
22,22.0,40.0,interfacing,BONDING FILM,,HAND POCKET OPENINGS,1 PER SIDE = 2,BONDING FILM,BONDING FILM,BONDING FILM,BONDING FILM
23,23.0,41.0,interfacing,BONDING FILM,,BACK RIGHT POCKET WELT,1 PER SIDE = 2,BONDING FILM,BONDING FILM,BONDING FILM,BONDING FILM
24,24.0,42.0,interfacing,BONDING FILM,,ZIPPER GARAGES,1 PER SIDE = 2,BONDING FILM,BONDING FILM,BONDING FILM,BONDING FILM
25,25.0,45.0,other,"1"" X 1"" VELCRO WITH ROUNDED CORNERS","PAIHO / Loop#1057, PAIHO / HookETN7",WAIST BAND,1,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
26,26.0,53.0,other,20K/20K FULLY TAPED,SOLUNA/ MAIN LABEL,INNER FRONT RIGHT,1,20K/20K FULLY TAPED,,,
27,27.0,57.0,other,MENS JACKET HANG TAG,SOLUNA/ MENS JACKET HANG TAG,LEFT SIDE HAND POCKET ZIPPER,1,MENS JACKET HANG TAG,,,
28,28.0,58.0,other,PANT REGULAR FIT HANG TAG,SOLUNA/ PANT FIT HANG TAG,LEFT SIDE HAND POCKET ZIPPER,1,PANT REGULAR FIT HANG TAG,,,
29,29.0,61.0,label,ADDRESS LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,,,,
30,30.0,62.0,label,CONTENT LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,,,,
31,31.0,63.0,label,WASHING LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,,,,
