,MATERIAL_ID,,,,position,,color_way,color_way,color_way,color_way,CATEGORY
10,20.0,20.0, 11NT-045 / SELF FABRIC PULL ,FACTORY MADE,LINING POCKET,1 PER SIDE = 2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
11,23.0,23.0,"L1-2018-TRIM-012
Heat Transfer Label ",PLEASE SOURCE,FRONT RIGHT HEM,1,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD,
12,24.0,24.0,"L1-2018-TRIM-014
L1 Sleeve Injection mold logo.
2mm Embossed effect. 2.62 cm x 2.6 cm",SOLUNA,FRONT LEFT SLEEVE HEM,1,2 mm EMBOSS OF THE SHELL FABRIC,2 mm EMBOSS OF THE SHELL FABRIC,2 mm EMBOSS OF THE SHELL FABRIC,2 mm EMBOSS OF THE SHELL FABRIC,
13,25.0,25.0,"L1-2018-TRIM-015
L1 Shoulder Injection mold logo.
2mm Embossed effect. 3.3 cm x 3.3 cm",SOLUNA,BACK RIGHT,1,2 mm EMBOSS OF THE SHELL FABRIC,2 mm EMBOSS OF THE SHELL FABRIC,2 mm EMBOSS OF THE SHELL FABRIC,2 mm EMBOSS OF THE SHELL FABRIC,
14,28.0,28.0,15MM METAL SNAP,LUK'S / 404,POWDER SKIRT - FRONT CLOSURE,1 PER SIDE = 2,AL023 ALLOY (D) ,AL023 ALLOY (D) ,AL023 ALLOY (D) ,AL023 ALLOY (D) ,
15,29.0,29.0,15MM METAL SNAP,LUK'S / 404,SNAP AWAY POWDER SKIRT - LINING FACING ,1 MALE 1 FEMALE,AL023 ALLOY (D) ,AL023 ALLOY (D) ,AL023 ALLOY (D) ,AL023 ALLOY (D) ,
16,30.0,30.0,15MM METAL SNAP,LUK'S / 404,POWDER SKIRT - JACKET TO PANT CONNECTION,3 SETS,AL023 ALLOY (D) ,AL023 ALLOY (D) ,AL023 ALLOY (D) ,AL023 ALLOY (D) ,
17,31.0,31.0,METAL EYELETS 8MM,LUK'S / ET04,HOOD CORD EXIT FRONT,2 PER SIDE = 4,AL023 ALLOY (D) ,AL023 ALLOY (D) ,AL023 ALLOY (D) ,AL023 ALLOY (D) ,
18,32.0,32.0,METAL EYELETS 8MM,LUK'S / ET04,HEM CORD EXIT,2 PER SIDE = 4,AL023 ALLOY (D) ,AL023 ALLOY (D) ,AL023 ALLOY (D) ,AL023 ALLOY (D) ,
19,33.0,33.0,CORD LOCK: SMALL CORD LOCK WITH TIE DOWN,SUN SUN/ SV160824-2A,FRONT HOOD ADJUST,1 PER SIDE = 2,MATTE BLACK,MATTE BLACK,MATTE BLACK,MATTE BLACK,
20,34.0,34.0,CORD LOCK,SV160819-4A,HEM ADJUST EXPOSED AT LINING,1 PER SIDE = 2,MATTE BLACK,MATTE BLACK,MATTE BLACK,MATTE BLACK,
21,35.0,35.0,BEAD,SV160725-1A,HEM ADJUST,1 PER SIDE = 2,MATTE BLACK,MATTE BLACK,MATTE BLACK,MATTE BLACK,
22,36.0,36.0,SHOCKCORD TIP,SUNSUN/ SV170208-3A,FRONT HOOD SHOCKCORD ENDS,1 PER SIDE = 2,MATTE BLACK,MATTE BLACK,MATTE BLACK,MATTE BLACK,
23,37.0,37.0,KEYCLIP,AS PRODUCTION,RIGHT HAND POCKET,1,BLACK,BLACK,BLACK,BLACK,
24,40.0,40.0,"GROSGRAIN 1/4""",,ATTACH FRONT HOOD CORD LOCK,1 PER SIDE = 2,BLACK,BLACK,BLACK,BLACK,
25,41.0,41.0,"GROSGRAIN 3/8""",,ATTACH HEM CORD LOCK,1 PER SIDE = 2,BLACK,BLACK,BLACK,BLACK,
26,42.0,42.0,"GROSGRAIN 1/4""",,ATTACH KEYCLIP RIGHT HAND POCKET ,1,BLACK,BLACK,BLACK,BLACK,
27,43.0,43.0,"GROSGRAIN 3/4"" X  3 1/2"" FLAT WEBBING (FINISHED LENGTH)",,POWDER SKIRT - SIDE TABS JACKET TO PANT CONNECTION ,2,BLACK,BLACK,BLACK,BLACK,
28,44.0,44.0,"SHELL FABRIC TAB  1"" X 1"" WRAP AROUND ",,JACKET TO PANT CONNECTION CENTER BACK ON TAB,1,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
29,45.0,45.0,"SHELL FABRIC TAB  1"" X 1"" WRAP AROUND ",,JACKET TO PANT CONNECTION CENTER BACK UNDER SNAP ON GRIPPER ELASTIC,1,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
30,46.0,46.0,"SHELL FABRIC TAB 3/4"" X  1"" ",,JACKET TO PANT CONNECTION AT SIDE TABS UNDER SNAPS,1 PER SIDE = 2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
31,47.0,47.0,"ELASTIC 1"" X 4""",,POWDER SKIRT MIDDLE TAB - JACKET TO PANT CONNECTION ,1,BLACK,BLACK,BLACK,BLACK,
32,48.0,48.0,ELASTIC ,,BACK OF SLEEVE CUFFS,1,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,
33,49.0,49.0,"ELASTIC 1/4"" ",,CABLE GUIDE,1,BLACK,BLACK,BLACK,BLACK,
34,50.0,50.0,GRIPPER ELASTIC 25mm NON LOGO,MTT0022,POWDER SKIRT HEM,1,BLACK,BLACK,BLACK,BLACK,
35,51.0,51.0,ELASTINE BINDING,,GOGGLE POCKET BINDING,1,BLACK,BLACK,BLACK,BLACK,
36,52.0,52.0,ELASTINE KISSING WELTS,,MEDIA POCKET CORD EXITS,2,BLACK,BLACK,BLACK,BLACK,
37,56.0,56.0,BONDING FILM,,HOOD BRIM,1,BONDING FILM,BONDING FILM,BONDING FILM,BONDING FILM,
38,57.0,57.0,BONDING FILM,,CHIN VENTS,1 PER SIDE = 2,BONDING FILM,BONDING FILM,BONDING FILM,BONDING FILM,
39,58.0,58.0,BONDING FILM,,CHEST POCKET OPENINGS,1 PER SIDE = 2,BONDING FILM,BONDING FILM,BONDING FILM,BONDING FILM,
40,59.0,59.0,BONDING FILM,,HAND POCKET FLAPS,1 PER SIDE = 2,BONDING FILM,BONDING FILM,BONDING FILM,BONDING FILM,
41,60.0,60.0,BONDING FILM,,CUFF TABS,1 PER SIDE = 2,BONDING FILM,BONDING FILM,BONDING FILM,BONDING FILM,
42,61.0,61.0,BONDING FILM,,SLEEVE POCKET OPENING,1,BONDING FILM,BONDING FILM,BONDING FILM,BONDING FILM,
43,64.0,64.0,"1"" X 3 3/4"" VELCRO WITH ROUNDED CORNERS",PAIHO / Loop#1057,CUFF ON BODY,1 PER SIDE = 2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
44,65.0,65.0,"1"" X 2 1/2"" VELCRO WITH ROUNDED CORNERS",PAIHO / HookETN7,CUFF ON TAB,1 PER SIDE = 2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
45,68.0,68.0,SEAMS,10-12 SPI,30/2,,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
46,69.0,69.0,TOPSTITCH,8-10 SPI,30/2,,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
47,70.0,70.0,BARTACKS,,100/2,,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
48,71.0,71.0,SLEEVE GAITER COVER STITCH,MUST BE STRETCH THREAD,,,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
49,74.0,74.0,20K/20K FULLY TAPED,SOLUNA/ MAIN LABEL,CENTER BACK BELOW NECK SEAM,1,20K/20K FULLY TAPED,20K/20K FULLY TAPED,20K/20K FULLY TAPED,,
50,78.0,78.0,MENS JACKET HANG TAG,SOLUNA/ MENS JACKET HANG TAG,LEFT SIDE HAND POCKET ZIPPER,1,MENS JACKET HANG TAG,MENS JACKET HANG TAG,MENS JACKET HANG TAG,,
51,82.0,82.0,ADDRESS LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,ADDRESS LABEL,ADDRESS LABEL,ADDRESS LABEL,,
52,83.0,83.0,CONTENT LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,CONTENT LABEL,CONTENT LABEL,CONTENT LABEL,,
53,84.0,84.0,WASHING LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,WASHING LABEL,WASHING LABEL,WASHING LABEL,,
