,,MATERIAL_ID,CATEGORY,,,position,,color_way,color_way,color_way,color_way
13,13.0,25.0,other,"L1-2018-TRIM-003
Faux Leather patch ",PLEASE SOURCE SUPPLIER,RIGHT HAND POCKET,1,BROWN FAUX LEATHER,BROWN FAUX LEATHER,BROWN FAUX LEATHER,BROWN FAUX LEATHER
14,14.0,26.0,other,"L1-2018-TRIM-024/  L1 EMBROIDERY SMALL
3cm x 2.77cm  ",SOLUNA,LEFT SLEEVE HEM,1,MATCHING,MATCHING,MATCHING,MATCHING
15,15.0,30.0,interfacing,15MM METAL SNAP ,LUKS / 404,POWDER SKIRT - FRONT CLOSURE,"2 FEMALE, 4 MALE",AL023 ALLOY (D) CAP / DOXCP OXIDIZED COPPER BASE ,AL023 ALLOY (D) CAP / DOXCP OXIDIZED COPPER BASE ,AL023 ALLOY (D) CAP / SAS54 PSEUDO ANTI SILVER BASE,AL023 ALLOY (D) CAP / DOXCP OXIDIZED COPPER
16,16.0,31.0,interfacing,15MM METAL SNAP ,LUKS / 404,SNAP AWAY POWDER SKIRT - LINING FACING ,1 MALE 1 FEMALE,AL023 ALLOY (D) CAP / DOXCP OXIDIZED COPPER BASE ,AL023 ALLOY (D) CAP / DOXCP OXIDIZED COPPER BASE ,AL023 ALLOY (D) CAP / SAS54 PSEUDO ANTI SILVER BASE,AL023 ALLOY (D) CAP / DOXCP OXIDIZED COPPER
17,17.0,32.0,interfacing,15MM METAL SNAP ,LUKS / 404,POWDER SKIRT - JACKET TO PANT CONNECTION,3 SETS,AL023 ALLOY (D) CAP / DOXCP OXIDIZED COPPER BASE ,AL023 ALLOY (D) CAP / DOXCP OXIDIZED COPPER BASE ,AL023 ALLOY (D) CAP / SAS54 PSEUDO ANTI SILVER BASE,AL023 ALLOY (D) CAP / DOXCP OXIDIZED COPPER
18,18.0,33.0,other,METAL EYELETS 8MM ,LUKS / ET04,HOOD CORD EXIT FRONT,1 PER SIDE = 2 ,DOXCP OXIDIZED COPPER,DOXCP OXIDIZED COPPER,SAS54 PSEUDO ANTI SILVER,DOXCP OXIDIZED COPPER
19,19.0,34.0,other,METAL EYELETS 8MM ,LUKS / ET04,HEM CORD EXIT,2 PER SIDE = 4 ,DOXCP OXIDIZED COPPER,DOXCP OXIDIZED COPPER,SAS54 PSEUDO ANTI SILVER,DOXCP OXIDIZED COPPER
20,20.0,35.0,other,CORD LOCK: SMALL CORD LOCK WITH TIE DOWN,SUN SUN/ SV160824-2A,FRONT HOOD ADJUST,1 PER SIDE = 2,19-4010 TCX INK,19-0515 TCX MILITARY,19-1540 TCX RUST,19-4006 TCX BLACK
21,21.0,38.0,other,METAL DRAWCORD TIP,SEE PHOTO,HOOD SHOCKCORD TIPS,1 PER SIDE = 2,DOXCP OXIDIZED COPPER,DOXCP OXIDIZED COPPER,SAS54 PSEUDO ANTI SILVER,DOXCP OXIDIZED COPPER
22,22.0,39.0,other,KEYCLIP,AS LAST YEAR PRODUCTION,RIGHT HAND POCKET,1,BLACK,BLACK,BLACK,BLACK
23,23.0,42.0,other,"GROSGRAIN 1/4""",XXX,ATTACH FRONT HOOD CORD LOCK,1 PER SIDE = 2,BLACK,BLACK,BLACK,BLACK
24,24.0,43.0,other,"GROSGRAIN 3/8""",XXX,ATTACH HEM CORD LOCK,1 PER SIDE = 2,BLACK,BLACK,BLACK,BLACK
25,25.0,44.0,other,"GROSGRAIN 1/4""",XXX,ATTACH KEYCLIP RIGHT HAND POCKET ,1,BLACK,BLACK,BLACK,BLACK
26,26.0,45.0,other,"GROSGRAIN 3/4"" X  3 1/2"" FLAT WEBBING (FINISHED LENGTH)",,POWDER SKIRT - SIDE TABS JACKET TO PANT CONNECTION ,2,BLACK,BLACK,BLACK,BLACK
27,27.0,46.0,other,"SHELL FABRIC TAB  1"" X 1"" WRAP AROUND ",,JACKET TO PANT CONNECTION CENTER BACK ON TAB,1,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
28,28.0,47.0,other,"SHELL FABRIC TAB  1"" X 1"" WRAP AROUND ",,JACKET TO PANT CONNECTION CENTER BACK UNDER SNAP ON GRIPPER ELASTIC,1,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
29,29.0,48.0,other,"SHELL FABRIC TAB 3/4"" X  1"" ",,JACKET TO PANT CONNECTION AT SIDE TABS UNDER SNAPS,1 PER SIDE = 2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
30,30.0,49.0,other,"ELASTIC 1"" X 4""",,POWDER SKIRT MIDDLE TAB - JACKET TO PANT CONNECTION ,1,BLACK,BLACK,BLACK,BLACK
31,31.0,50.0,insulation,ELASTIC ,,BACK OF SLEEVE CUFFS,1,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
32,32.0,51.0,other,"ELASTIC 1/4"" ",,MEDIA POCKET CORD HOLDER,1,BLACK,BLACK,BLACK,BLACK
33,33.0,52.0,other,GRIPPER ELASTIC 25mm NON LOGO,MTT0022,POWDER SKIRT HEM,1,BLACK,BLACK,BLACK,BLACK
34,34.0,53.0,other,ELASTINE BINDING,,GOGGLE POCKET BINDING,1,BLACK,BLACK,BLACK,BLACK
35,35.0,57.0,other," 1/2"" X 1 1/2"" VELCRO WITH ROUNDED CORNERS",PAIHO / Loop#1057 / HookETN7,CHIN,1,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
36,36.0,58.0,other," 1/2"" X 3 VELCRO WITH ROUNDED CORNERS",PAIHO / Loop#1057 / HookETN7,CENTER FRONT PLACKET,4,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
37,37.0,59.0,other,"1/2"" X 1 1/2"" VELCRO WITH ROUNDED CORNERS",PAIHO / Loop#1057 / HookETN7,LEFT CHEST POCKET FLAPS,2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
38,38.0,60.0,other,"1/2"" X 1 1/2"" VELCRO WITH ROUNDED CORNERS",PAIHO / Loop#1057 / HookETN7,RIGHT POCKET FLAPS,1,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
39,39.0,61.0,other,"1/2"" X 2"" VELCRO WITH ROUNDED CORNERS",PAIHO / Loop#1057 / HookETN7,HAND POCKET FLAPS,2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
40,40.0,62.0,other,"1"" X 3 3/4"" VELCRO WITH ROUNDED CORNERS",PAIHO / Loop#1057,CUFF ON BODY,1 PER SIDE = 2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
41,41.0,63.0,other,"1"" X 2 1/2"" VELCRO WITH ROUNDED CORNERS",PAIHO / HookETN7,CUFF ON TAB,1 PER SIDE = 2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
42,42.0,66.0,other,SEAMS,10-12 SPI,30/2,,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
43,43.0,67.0,other,TOPSTITCH,8-10 SPI,30/2,,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
44,44.0,68.0,other,BARTACKS,,100/2,,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
45,45.0,69.0,other,SLEEVE GAITER COVER STITCH,MUST BE STRETCH THREAD,,,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
46,46.0,72.0,label,15K/15K FULLY TAPED,SOLUNA/ MAIN LABEL,CENTER BACK BELOW NECK SEAM,1,15K/15K FULLY TAPED,,,
47,47.0,73.0,label,SIZE LABEL (SAMPLE SIZE L),SOLUNA/ SIZE LABEL,CENTER BACK BELOW MAIN LABEL,1,"XS, S, M, L, XL",,,
48,48.0,76.0,other,MENS JACKET HANG TAG,SOLUNA/ MENS JACKET HANG TAG,LEFT SIDE HAND POCKET ZIPPER,1,MENS JACKET HANG TAG,,,
49,49.0,80.0,label,ADDRESS LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,ADDRESS LABEL,,,
50,50.0,81.0,label,CONTENT LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,CONTENT LABEL,,,
51,51.0,82.0,label,WASHING LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,WASHING LABEL,,,
