,position,ref num,location,amount,black,ink,bone,soil,vintage camo broken twill,0
25,"l1-2018-trim-025
l1 embroidery large
3.7cm x 3.4cm  ",please source,front left hem,1,matching,matching,matching,matching,black,none
26,trims,supplier/ reference number,location,amount,black,ink,bone,soil,vintage camo broken twill,0
27,15mm metal snap,luk's / 404,"""finger snap hem adjust"" back gaiter/ pant hem",1 per side = 2,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,none
28,boot hook,xxx,front gaiter,1 per side = 2,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,none
29,keyclip,xxx,right leg pocket,1,black,black,black,black,black,none
30,metal clip and strap adjust,xxx,front of shoulder straps,1 set per side = 2 sets,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,none
31,notions,supplier/ reference number,location,amount,black,ink,bone,soil,vintage camo broken twill,0
32,self fabric tab 1x1,factory,front gaiter under boot hook,1 per side = 2,match to shell,match to shell,match to shell,match to shell,match to shell,none
33,self fabric tab 1x1,factory,back gaiter under finger snap hem adjust,1 per side = 2,match to shell,match to shell,match to shell,match to shell,match to shell,none
34,"grossgrain 1/4""",factory,attach key clip in right leg pocket,1,black,black,black,black,black,none
35,"grossgrain 1/4""",factory,balls out venting mesh guard,1,black,black,black,black,black,none
36,gripper elastic 25mm non logo,mtt0022,leg gaiters,2,black,black,black,black,black,none
37,38mm flat elastic,chun wo ho (please look at photo in pdf and source similar elastic.,front shoulder straps,1 per side = 2,black,black,black,black,black,none
38,velcro,supplier/ reference number,location,amount,black,ink,bone,soil,vintage camo broken twill,0
39," 1/2"" x 1 1/2"" velcro with rounded corners","paiho / loop#1057, paiho / hooketn7",chest pocket (hidden),1,match to shell,match to shell,match to shell,match to shell,match to shell,none
40," 1/2""x1 velcro with rounded corners",xxx,back left pocket (hidden),xxx,match to shell,match to shell,match to shell,match to shell,match to shell,none
41," 1/2"" x full length velcro with rounded corners","paiho / loop#1057, paiho / hooketn7",right leg pocket (upper),1,match to shell,match to shell,match to shell,match to shell,match to shell,none
42," 1/2"" x 1 1/2"" velcro with rounded corners","paiho / loop#1057, paiho / hooketn7",right leg pocket (lower),2,match to shell,match to shell,match to shell,match to shell,match to shell,none
43,thread,spi,supplier/ ref number,amount,black,ink,bone,soil,vintage camo broken twill,0
44,seams,10-12 spi,30/2,regular thread,matching,matching,matching,matching,matching,none
45,denim weight topstitch,8-10 spi,none,heavy weight topstitch thread,matching,matching,matching,matching,matching,none
46,bartacks,none,100/2,regular thread,matching,matching,matching,matching,matching,none
47,labels ,supplier/ reference number,location,amount,black,ink,bone,soil,vintage camo broken twill,0
48,10k/10k fully taped,soluna/ main label,inner front right,1,10k/10k fully taped,none,none,none,none,none
49,size label (sample size l),soluna/ size label,center back ,1,"xs, s, m, l, xl",none,none,none,none,none
50,hang tags,supplier/ reference number,location,amount,black,ink,bone,soil,vintage camo broken twill,0
51,mens jacket hang tag,soluna/ mens jacket hang tag,left side hand pocket zipper,1,mens jacket hang tag,none,none,none,none,none
52,pant regular fit hang tag,soluna/ pant fit hang tag,left side hand pocket zipper,1,pant regular fit hang tag,none,none,none,none,none
53,care and content labels,supplier/ reference number,location,amount,black,ink,bone,soil,vintage camo broken twill,0
