,position,ref num,location,amount,silt,walnut,black,0,0,0
26,15mm metal snap ,luk's / 404,powder skirt - jacket to pant connection,3 sets,al023 alloy (d),al023 alloy (d),al023 alloy (d),none,none,none
27,metal eyelets 8mm ,luk's / et04,hood cord exit front,2 per side = 4 ,al023 alloy (d),al023 alloy (d),al023 alloy (d),none,none,none
28,cord lock: small cord lock with tie down,sun sun/ sv160824-2a,front hood adjust,1 per side = 2,matte black,matte black,matte black,none,none,none
29,shockcord tip,as  bulk production,front hood shockcord ends,1 per side = 2,matte black,matte black,matte black,none,none,none
30,keyclip,as  bulk production,right hand pocket,1,black,black,black,none,none,none
31,notions,supplier/ reference number,location,amount,silt,walnut,black,0,0,0
32,"1/4"" grosgrain",soluna,attach front hood cord lock,1 per side = 2,black,black,black,none,none,none
33,"1/4"" grosgrain",soluna,attach keyclip right hand pocket ,1,black,black,black,none,none,none
34,grosgrain,xxx,powder skirt - side tabs jacket to pant connection ,1,black,black,black,none,none,none
35,"grosgrain 3/4"" x  3 1/2"" flat webbing (finished length)",none,powder skirt - side tabs jacket to pant connection ,2,black,black,black,none,none,none
36,"shell fabric tab  1"" x 1"" wrap around ",none,jacket to pant connection center back on tab,1,match to shell,match to shell,match to shell,none,none,none
37,"shell fabric tab  1"" x 1"" wrap around ",none,jacket to pant connection center back under snap on gripper elastic,1,match to shell,match to shell,match to shell,none,none,none
38,"shell fabric tab 3/4"" x  1"" ",none,jacket to pant connection at side tabs under snaps,1 per side = 2,match to shell,match to shell,match to shell,none,none,none
39,"elastic 1"" x 4""",none,powder skirt middle tab - jacket to pant connection ,1,black,black,black,none,none,none
40,elastic ,xxx,back of sleeve cuffs,1,black,black,black,none,none,none
41,"l1-2018-trim-030
two-color shock cord
see color ups for 
colors",chun wo ho /,hood,1,"two-color shock cord =
colorway: 1
19-4006 tcx black/
18-0403 tcx gunmetal","two-color shock cord =
colorway: 1
19-4006 tcx black/
18-0403 tcx gunmetal","two-color shock cord =
colorway: 1
19-4006 tcx black/
18-0403 tcx gunmetal",none,none,none
42,shockcord,xxx,hem,1,black,black,black,none,none,none
43,gripper elastic 25mm non logo,mtt0022,powder skirt hem,1,black,black,black,none,none,none
44,velcro,supplier/ reference number,location,amount,silt,walnut,black,0,0,0
45,"3/4"" x 3 3/4"" velcro with rounded corners",xxx,cuff on body,1 per side = 2,match to shell,match to shell,match to shell,none,none,none
46,"3/4"" x 2 1/2"" velcro with rounded corners",xxx,cuff on tab,1 per side = 2,match to shell,match to shell,match to shell,none,none,none
47,thread,spi,supplier/ ref number,amount,silt,walnut,black,0,0,0
48,seams,10-12 spi,30 / 2,none,match to shell,match to shell,match to shell,none,none,none
49,denim weight topstitch,8-10 spi,none,heavy weight topstitch thread,match to shell,match to shell,match to shell,none,none,none
50,bartacks,none,100 / 2,none,match to shell,match to shell,match to shell,none,none,none
51,labels ,supplier/ reference number,location,amount,silt,walnut,black,0,0,0
52,10k/10k critically taped,soluna/ main label,center back below neck seam,1,10k/10k critically taped,10k/10k critically taped,10k/10k critically taped,none,none,none
53,size label (sample size l),soluna/ size label,center back below main label,1,"xs, s, m, l, xl","xs, s, m, l, xl","xs, s, m, l, xl",none,none,none
54,hang tags,supplier/ reference number,location,amount,silt,walnut,black,0,0,0
55,mens jacket hang tag,soluna/ mens jacket hang tag,left side hand pocket zipper,1,mens jacket hang tag,mens jacket hang tag,mens jacket hang tag,none,none,none
56,care and content labels,supplier/ reference number,location,amount,silt,walnut,black,0,0,0
57,address label,factory sourced,lining left side seam,1,address label,address label,address label,none,none,none
58,content label,factory sourced,lining left side seam,1,content label,content label,content label,none,none,none
59,washing label,factory sourced,lining left side seam,1,washing label,washing label,washing label,none,none,none
