20,"l1-2018-trim-002
black faux leather patch",please source: same supplier as other faux leather trims,front right hem,1,black faux leather,black faux leather,black faux leather,none,none,none
21,"l1-2018-trim-024/  l1 embroidery small
3cm x 2.77cm  ",soluna,left sleeve hem,1,match to shell,match to shell,match to shell,none,none,none
22,"l1-2018-trim-025 /
l1 embroidery large
3.7cm x 3.4cm  ",soluna,back right,1,match to shell,match to shell,match to shell,none,none,none
23,trims,supplier/ reference number,location,amount,black,military,walnut,0,0,0
24,15mm metal snap,luk's / 404,front placket (hidden at chin),2,doxcp oxidized copper,doxcp oxidized copper,doxcp oxidized copper,none,none,none
25,15mm metal snap,luk's / 404,front placket (hidden at hem),1,doxcp oxidized copper,doxcp oxidized copper,doxcp oxidized copper,none,none,none
26,15mm metal snap,luk's / 404,powder skirt - front closure,"2 female, 4 male",al023 alloy (d) cap / doxcp oxidized copper,al023 alloy (d) cap / doxcp oxidized copper,al023 alloy (d) cap / doxcp oxidized copper,none,none,none
27,15mm metal snap,luk's / 404,snap away powder skirt - lining facing ,1 male 1 female,al023 alloy (d) cap / doxcp oxidized copper,al023 alloy (d) cap / doxcp oxidized copper,al023 alloy (d) cap / doxcp oxidized copper,none,none,none
28,15mm metal snap,luk's / 404,powder skirt - jacket to pant connection,3 sets,al023 alloy (d) cap / doxcp oxidized copper,al023 alloy (d) cap / doxcp oxidized copper,al023 alloy (d) cap / doxcp oxidized copper,none,none,none
29,metal eyelets 8mm,luk's / et04,hood cord exit front,2 per side = 4,doxcp oxidized copper,doxcp oxidized copper,doxcp oxidized copper,none,none,none
30,metal eyelets 8mm,luk's / et04,hem cord exit,2 per side = 4,oxcp oxidized copper,oxcp oxidized copper,oxcp oxidized copper,none,none,none
31,cord lock: small cord lock with tie down,sun sun/ sv160824-2a,front hood adjust,1 per side = 2,19-4006 tcx black, 19-0515 tcx military,18-0513 tcx walnut,none,none,none
32,metal shockcord tip,see photo,front hood shockcord ends,1 per side = 2,doxcp oxidized copper,doxcp oxidized copper,doxcp oxidized copper,none,none,none
33,keyclip,as last year production,right hand pocket,1,black,black,black,none,none,none
34,notions,supplier/ reference number,location,amount,black,military,walnut,0,0,0
35,"grosgrain 1/4""",please source,hood cord locks,1 per side = 2,black,black,black,none,none,none
36,"grosgrain 1/4""",xxx,attach keyclip right hand pocket ,1,black,black,black,none,none,none
37,grosgrain,xxx,powder skirt - side tabs jacket to pant connection ,1,black,black,black,none,none,none
38,"grosgrain 3/4"" x  3 1/2"" flat webbing (finished length)",none,powder skirt - side tabs jacket to pant connection ,2,black,black,black,none,none,none
39,"shell fabric tab  1"" x 1"" wrap around ",none,jacket to pant connection center back on tab,1,match to shell,match to shell,match to shell,none,none,none
40,"shell fabric tab  1"" x 1"" wrap around ",none,jacket to pant connection center back under snap on gripper elastic,1,match to shell,match to shell,match to shell,none,none,none
41,"shell fabric tab 3/4"" x  1"" ",none,jacket to pant connection at side tabs under snaps,1 per side = 2,match to shell,match to shell,match to shell,none,none,none
42,"elastic 1"" x 4""",none,powder skirt middle tab - jacket to pant connection ,1,black,black,black,none,none,none
43,"elastic 1/4"" ",none,cable guide,1,black,black,black,none,none,none
44,elastine binding,xxx,goggle pocket binding,1,black,black,black,none,none,none
45,gripper elastic 25mm non logo,mtt0022,powder skirt hem,1,black,black,black,none,none,none
46,"l1-2018-trim-030
two-color shock cord
see color ups for 
colors",chun wo ho /,hood,1,"two-color shock cord =
colorway: 1
19-4006 tcx black/
18-0403 tcx gunmetal","two-color shock cord =
colorway: 4
19-0515 tcx military/
17-0620 tcx dusty green","two-color shock cord =
colorway: 5
18-0513 tcx walnut/
19-4006 tcx black",none,none,none
47,velcro,supplier/ reference number,location,amount,black,military,walnut,0,0,0
48," 1/2"" x 1 1/2"" velcro with rounded corners",paiho / loop#1057 / hooketn7,chin,1,match to shell,match to shell,match to shell,none,none,none
49," 1/2"" x 3 velcro with rounded corners",paiho / loop#1057 / hooketn7,center front placket,4,match to shell,match to shell,match to shell,none,none,none
50,"1"" x 3 3/4"" velcro with rounded corners",paiho / loop#1057,cuff on body,1 per side = 2,match to shell,match to shell,match to shell,none,none,none
51,"1"" x 2 1/2"" velcro with rounded corners",paiho / hooketn7,cuff on tab,1 per side = 2,match to shell,match to shell,match to shell,none,none,none
52,thread,spi,supplier/ ref number,amount,black,military,walnut,0,0,0
53,seams,10-12 spi,30/2,none,match to shell,match to shell,match to shell,none,none,none
54,topstitch,8-10 spi,30/2,none,match to shell,match to shell,match to shell,none,none,none
55,bartacks,none,100/2,none,match to shell,match to shell,match to shell,none,none,none
56,sleeve gaiter cover stitch,must be stretch thread,none,none,match to shell,match to shell,match to shell,none,none,none
57,labels ,supplier/ reference number,location,amount,black,military,walnut,0,0,0
58,10k/10k critically taped,soluna/ main label,center back below neck seam,1,10k/10k critically taped,10k/10k critically taped,10k/10k critically taped,none,none,none
59,size label (sample size l),soluna/ size label,center back below main label,1,"xs, s, m, l, xl","xs, s, m, l, xl","xs, s, m, l, xl",none,none,none
60,hang tags,supplier/ reference number,location,amount,black,military,walnut,0,0,0
61,mens jacket hang tag,soluna/ mens jacket hang tag,left side hand pocket zipper,1,mens jacket hang tag,mens jacket hang tag,mens jacket hang tag,none,none,none
62,care and content labels,supplier/ reference number,location,amount,black,military,walnut,0,0,0
63,address label,factory sourced,lining left side seam,1,address label,address label,address label,none,none,none
64,content label,factory sourced,lining left side seam,1,content label,content label,content label,none,none,none
65,washing label,factory sourced,lining left side seam,1,washing label,washing label,washing label,none,none,none
