,MATERIAL_ID,CATEGORY,0,1,2,3,4,5,7
14,26,other,POWDER SKIRT GRIPPER ELASTIC ,"NITRO Embossed 
petersham tape 
(E1342816 20mm)
CHUN WO HO",POWDER SKIRT GRIPPER ELASTIC ,1,COLOR,,
15,27,fabric,GOGGLE POCKET BINDING,CHUN WO HO,GOGGLE POCKET OPENING,1,COLOR,,
16,28,other,JOEY CORD KEEP 3MM,WOOJIN/ W863,LINING CENTER FRONT CHEST,1,BLACK,,
17,31,other,15MM METAL SNAP,LUK'S / 404,HIDDEN AT HEM,1 SET,METAL COLOR,,
18,32,other,15MM METAL SNAP,LUK'S / 404,SNAP AWAY POWDER SKIRT - LINING FACING ,1 MALE 1 FEMALE,METAL COLOR,,
19,33,other,15MM METAL SNAP,LUK'S / 404,POWDER SKIRT - FRONT CLOSURE,"1 FEMALE, 2 MALE",METAL COLOR,,
20,34,other,15MM METAL SNAP,LUK'S / 404,POWDER SKIRT - JACKET TO PANT CONNECTION ON TABS,3 SETS,METAL COLOR,,
21,35,other,8MM METAL EYELET,LUK'S / ET04,FRONT HOOD ADJUST,2 PER SIDE = 4,METAL COLOR,,
22,36,other,CORD LOCK,,FRONT HOOD ADJUST,1 PER SIDE = 2,COLOR,,
23,37,other,BEAD,,FRONT HOOD ADJUST,1 PER SIDE = 2,COLOR,,
24,38,other,8MM METAL EYELET,LUK'S / ET04,HEM ADJUST ,2 PER SIDE = 4,METAL COLOR,,
25,39,other,CORD LOCK,,HEM ADJUST ,1 PER SIDE = 2,COLOR,,
26,40,other,BEAD,,HEM ADJUST ,1 PER SIDE = 2,COLOR,,
27,41,other,METAL EYELETS 11MM ,LUK'S / ET89,BACK HOOD ADJUST,1,METAL COLOR,,
28,42,other,CORD LOCK,,BACK HOOD ADJUST,1,COLOR,,
29,43,other,BEAD,,BACK HOOD ADJUST,1,COLOR,,
30,44,other,KEYCLIP,,RIGHT HAND POCKET,1,COLOR,,
31,47,other,"GROSGRAIN 1/4""",XXX,ATTACH FRONT HOOD CORD LOCK,1 PER SIDE = 2,COLOR,,
32,48,other,"GROSGRAIN 3/8""",XXX,ATTACH HEM CORD LOCK,1 PER SIDE = 2,COLOR,,
33,49,other,"GROSGRAIN 3/8""",XXX,ATTACH BACK HOOD CORD LOCK,1,COLOR,,
34,50,other,"GROSGRAIN 1/4""",XXX,ATTACH KEYCLIP RIGHT HAND POCKET ,1,COLOR,,
35,51,other,"GROSGRAIN 3/4"" X 1"" ",XXX,POWDER SKIRT JACKET TO PANT CONNECTION TABS BEHIND SNAPS,1,COLOR,,
36,52,other,"ELASTIC 3/4"" (CB 3/4 X 4"") (SIDE TABS 3/4 X 3 1/4""",XXX,POWDER SKIRT JACKET TO PANT CONNECTION TABS,3 PIECES ,COLOR,,
37,53,other,SHOCKCORD,XXX,HOOD,1,COLOR,,
38,54,other,SHOCKCORD,XXX,HEM,1,COLOR,,
39,55,other,"ELASTINE TAPE (USED IN 1"" X1 1/2"" WELT)",XXX,LINING MEDIA POCKET CORD EXIT,1,COLOR,,
40,58,interfacing,BONDING FILM,XXX,HOOD BRIM,1,,,
41,59,interfacing,BONDING FILM,,BACK HOOD ADJUST WELT,1,,,
42,60,other,BONDING FILM,XXX,CENTER FRONT PLACKET,1,,,
43,61,other,BONDING FILM,XXX,CUFF TABS,1 PER SIDE = 2,,,
44,62,other,BONDING FILM,XXX,HAND POCKET FLAPS,1 PER SIDE = 2,,,
45,63,interfacing,BONDING FILM,XXX,ZIPPER GARAGES,,,,
46,66,other,"1"" X 3 1/2"" VELCRO WITH ROUNDED CORNERS",PAIHO / Loop#1057,INSET CUFF ON BODY,1 PER SIDE = 2,MATCH TO SHELL,,
47,67,other,"1"" X 1 1/2"" VELCRO WITH ROUNDED CORNERS",PAIHO / HookETN7,CUFF ON TAB,1 PER SIDE = 2,MATCH TO SHELL,,
48,71,other,TOPSTITCH,8-10 SPI,30 / 2,,MATCH TO SHELL,,
49,72,other,BARTACKS,,100 / 2,,MATCH TO SHELL,,
50,75,label,MAIN LABEL,,CENTER BACK BELOW NECK SEAM,1,,,
51,79,other,MAIN HANG TAG,,LEFT HAND POCKET ZIPPER,1,,,
52,84,label,ADDRESS LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,,,
53,85,label,CONTENT LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,,,
54,86,label,WASHING LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,,,
