,MATERIAL_ID,CATEGORY,0,1,2,3,4,5,7
15,27,other,POWDER SKIRT GRIPPER ELASTIC ,"NITRO Embossed 
petersham tape 
(E1342816 20mm)
CHUN WO HO",POWDER SKIRT GRIPPER ELASTIC ,1,COLOR,,
16,28,fabric,GOGGLE POCKET BINDING,CHUN WO HO,GOGGLE POCKET OPENING,1,COLOR,,
17,29,other,JOEY CORD KEEP 3MM,WOOJIN/ W863,LINING CENTER FRONT CHEST,1,BLACK,,
18,32,other,15MM METAL SNAP,LUK'S / 404,SNAP AWAY POWDER SKIRT - LINING FACING ,1 MALE 1 FEMALE,METAL COLOR,,
19,33,other,15MM METAL SNAP,LUK'S / 404,POWDER SKIRT - FRONT CLOSURE,"1 FEMALE, 2 MALE",METAL COLOR,,
20,34,other,15MM METAL SNAP,LUK'S / 404,POWDER SKIRT - JACKET TO PANT CONNECTION ON TABS,3 SETS,METAL COLOR,,
21,36,other,8MM METAL EYELET,LUK'S / ET04,FRONT HOOD ADJUST,2 PER SIDE = 4,METAL COLOR,,
22,37,other,CORD LOCK,,FRONT HOOD ADJUST,1 PER SIDE = 2,COLOR,,
23,38,other,BEAD,,FRONT HOOD ADJUST,1 PER SIDE = 2,COLOR,,
24,39,other,8MM METAL EYELET,LUK'S / ET04,HEM ADJUST ,2 PER SIDE = 4,METAL COLOR,,
25,40,other,CORD LOCK,,HEM ADJUST ,1 PER SIDE = 2,COLOR,,
26,41,other,BEAD,,HEM ADJUST ,1 PER SIDE = 2,COLOR,,
27,42,other,ADJUST,DURAFLEX 1-17976 EVIL EYE TENSION LOCK 10MM NYLON,BACK HOOD ADJUST,1,COLOR,,
28,44,other,KEYCLIP,,RIGHT HAND POCKET,1,COLOR,,
29,47,other,"GROSGRAIN 1/4""",XXX,ATTACH FRONT HOOD CORD LOCK,1 PER SIDE = 2,COLOR,,
30,48,other,"GROSGRAIN 3/8""",XXX,ATTACH HEM CORD LOCK,1 PER SIDE = 2,COLOR,,
31,49,other,"GROSGRAIN 1/4""",XXX,ATTACH KEYCLIP RIGHT HAND POCKET ,1,COLOR,,
32,50,other,"GROSGRAIN 3/4"" X 1"" ",XXX,POWDER SKIRT JACKET TO PANT CONNECTION TABS BEHIND SNAPS,1,COLOR,,
33,51,other,"ELASTIC 3/4"" (CB 3/4 X 4"") (SIDE TABS 3/4 X 3 1/4""",XXX,POWDER SKIRT JACKET TO PANT CONNECTION TABS,3 PIECES ,COLOR,,
34,52,other,"ELASTIC  1""",XXX,ENCASED IN BACK OF SLEEVE CUFFS,1 PER SIDE = 2,COLOR,,
35,53,other,SHOCKCORD,XXX,HOOD,1,COLOR,,
36,54,other,SHOCKCORD,XXX,HEM,1,COLOR,,
37,55,other,"ELASTINE TAPE (USED IN 1"" X1 1/2"" WELT)",XXX,LINING MEDIA POCKET CORD EXIT,1,COLOR,,
38,58,other," 1/2"" X 1 1/2"" VELCRO WITH ROUNDED CORNERS",PAIHO / Loop#1057 on placket PAIHO / HookETN7 on body,CHIN,1,MATCH TO SHELL,,
39,59,other," 1/2"" X 2"" VELCRO WITH ROUNDED CORNERS",PAIHO / Loop#1057 on placket PAIHO / HookETN7 on body,CENTER FRONT PLACKET,4,MATCH TO SHELL,,
40,60,other,"1"" X 3 1/2"" VELCRO WITH ROUNDED CORNERS",PAIHO / Loop#1057,CUFF ON BODY,1 PER SIDE = 2,MATCH TO SHELL,,
41,61,other,"1"" X 1 1/2"" VELCRO WITH ROUNDED CORNERS",PAIHO / HookETN7,CUFF ON TAB,1 PER SIDE = 2,MATCH TO SHELL,,
42,65,other,TOPSTITCH,8-10 SPI,30 / 2,,MATCH TO SHELL,,
43,66,other,BARTACKS,,100 / 2,,MATCH TO SHELL,,
44,69,label,MAIN LABEL,,CENTER BACK BELOW NECK SEAM,1,,,
45,73,other,MAIN HANG TAG,,LEFT HAND POCKET ZIPPER,1,,,
46,78,label,ADDRESS LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,,,
47,79,label,CONTENT LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,,,
48,80,label,WASHING LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,,,
