,MATERIAL_ID,CATEGORY,0,1,2,3,4
18,33,other,TPR SLIPLOK,"DURAFLEX/
(38MM) TPR Sliplok #2-04428",ADJUST ON SUSPENDER ELASTIC STRAPS,1 PER SIDE = 2,BLACK
19,36,other,GROSGRAIN,XXX,"UNDER ""VILLAGE HEM"" LEG SNAPS",1 PER SIDE = 2,COLOR
20,37,other,GROSGRAIN,XXX,UNDER BOOT HOOK,1 PER SIDE = 2,COLOR
21,38,other,"GROSGRAIN 1/4""",XXX,RIGHT HAND POCKET ATTACH KEYCLIP,1,COLOR
22,39,other,ELASTIC,,WAIST BAND ADJUST,1 PER SIDE = 2,ELASTIC
23,43,other,BONDING FILM,XXX,WAIST ADJUST TABS,1 PER SIDE = 2,COLOR
24,44,other,BONDING FILM,XXX,FLY OPENING,1,COLOR
25,45,other,BONDING FILM,XXX,HAND POCKET ZIPPER GARAGES / WELTS,1 PER SIDE = 2,COLOR
26,46,other,BONDING FILM,XXX,BACK POCKET FLAPS,1 PER SIDE = 2,COLOR
27,47,other,BONDING FILM,XXX,HEM GUSSET WELTS,1 PER SIDE = 2,COLOR
28,50,other,"1"" x 1 1/4"" VELCRO WITH ROUNDED CORNERS",Paiho Loop #1057 on top / Paiho Hook ETN7 on bottom,WAIST BAND,2 TABS,MATCH TO SHELL
29,51,other,"1/2"" x 1 1/2"" VELCRO WITH ROUNDED CORNERS",Paiho Loop #1057 on bag / Paiho Hook ETN7 on flap,BACK POCKET FLAPS (HIDDEN),2 PER SIDE,MATCH TO SHELL
30,52,other,"1 1/4"" x 4 1/2"" VELCRO WITH ROUNDED CORNERS",Paiho Loop #1057 ,WAIST ADJUST - ON BODY,1 PER SIDE = 2,MATCH TO SHELL
31,53,other,"1 1/4"" x 2"" VELCRO WITH ROUNDED CORNERS",Paiho Hook ETN7 on flap,WAIST ADJUST - ON TABS,1 PER SIDE = 2,MATCH TO SHELL
32,57,other,TOPSTITCH,8-10 SPI,30 / 2,,MATCH TO SHELL
33,58,other,BARTACKS,,100 / 2,,MATCH TO SHELL
34,61,label,MAIN LABEL,,CENTER BACK WAIST BAND LINING,1,
35,65,other,MAIN HANG TAG,,LEFT HAND POCKET ZIPPER,1,
36,70,label,ADDRESS LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,
37,71,label,CONTENT LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,
38,72,label,WASHING LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,
