,MATERIAL_ID,CATEGORY,0,1,2,3,4,6,7,10,11
30,53,other,21,cord end very tiny drop shape,PL END STOPPER DGST-BEH080,DONG GWANG SA INDUSTRY,hood back side,1.0,,BLACK,BLACK
31,54,other,22,eyelet 8mm,H MP 012 DB 0691-0,Dragon Times,hood back side,2.0,,"gloss silver
DB-0691-0","gloss silver
DB-0691-0"
32,55,other,hood : ,front,,,,,,BLACK,BLACK
33,56,other,23,"DRAW CORD 2,5MM",ELASTIC NYLON STRING,DG.IN DAL,hood front side ,,,BLACK,BLACK
34,57,other,24,cord stopper A flat version ,DG-HS-125,DONG GWANG SA INDUSTRY,hood front part left and right,2.0,,BLACK,BLACK
35,58,other,25,cord end ball,STRING BELL STOPPER 3MM/DGHS-323,DONG GWANG SA INDUSTRY,hood front part left and right,2.0,,BLACK,BLACK
36,59,other,26,eyelet 8mm,HMP 012 DB 0691-0,Dragon Times,"hood front part left and right side, collar inside and outside",8.0,,gloss silver DB 0691-0,gloss silver DB 0691-0
37,61,other,Bottom hem adjustment :,,,,,,,BLACK,BLACK
38,62,other,27,grosgrain tape,GOL TAPE 10M/M,DG.IN DAL,left and right side seams,,,BLACK,BLACK
39,63,other,28,cord stopper A,PL STOPPER DGHS-324,DONG GWANG SA INDUSTRY,left and right side seams,2.0,,BLACK,BLACK
40,64,other,29,cord end very tiny drop shape,PL END STOPPER DGST-BEH080,DONG GWANG SA INDUSTRY,left and right side seams,2.0,,BLACK,BLACK
41,65,other,30,eyelet 8mm,EYELET 8MM,DONG GWANG SA INDUSTRY,left and right side seams,4.0,,"gloss silver
local color","gloss silver
local color"
42,66,other,31,"DRAW CORD 2,5MM",ELASTIC NYLON STRING,DG.IN DAL,bottom hem adjustment,,,BLACK,BLACK
43,68,other,general,,,,,,,,
44,69,other,32,ribs tape for  phone card holder,GOL TAPE 10M/M,DG.IN DAL,inside  on neck position ,,,BLACK,BLACK
45,73,other,33,bartacks,vertical bartacks,KIDO,all all zipper starting and ending points ,,,silver 14-5002 TCX,silver 14-5002 TCX
46,75,other,,PACKAGING,,,,,,,
47,76,other,35,polybag with HEAD print,,VIETNAM.NHAT LOI,size matching garment - follow packing instruction,1.0,, -- , -- 
48,77,other,36,barcode sticker,,VN.COSMO,attach on polybag - follow packing instruction,1.0,, -- , -- 
49,78,other,37,barcode sticker,,VN.COSMO,attach on carton- follow packing instruction,1.0,, -- , -- 
50,79,zipper,38,"plastic hanger "" HEAD""","H-PA 005 
(ELL45CS with bar )",Mainetti HK,,1.0,,semi clear,semi clear
51,81,other,,HANG TAGS,,,,,,,
52,82,other,39,MAIN HANG-TAG HEAD 360,H-PA 008,Avery Dennsion,attach hang-tag on left front pocket,1.0,, -- , -- 
53,83,other,40,HEAD  360  TAG inlay ,H-PA 009,Avery Dennsion,inlay inside main hang-tag,1.0,, -- , -- 
54,84,other,41,CORD FOR HANG TAG,HE HTCO-001,DG.ME QI,to attach hang-tag,1.0,, -- , -- 
55,85,other,42,barcode sticker,,VN.COSMO,attach on hang-tag - follow packing instruction,1.0,, -- , -- 
56,86,zipper,43,YKK general hang-tag,,YKK,behind generel hang-tag,1.0,, -- , -- 
