,MATERIAL_ID,CATEGORY,0,1,2,3,4,5,6,7,8,9
20,30,other,EE,Zipper Pull,ABZP_01 Utility cord zipper pullers with tied end  (supplied by Wei Rong),"(2) pockets, (1) C.F. (2) vents,  (1) inside pocket",6,BLACK,BLACK,BLACK,BLACK,AB18MJ1_032
21,33,other,FF,Stoppers,Round Barrel stopper - K-018 , (2) hood,2,BLACK,DARK OLIVE,BLACK,BLACK,AB18MJ1_032
22,34,other,GG,Stoppers,K343-2N push stoppers,(2) bottom hem,2,BLACK,DARK OLIVE,BLACK,BLACK,AB18MJ1_032
23,35,other,HH,Hand Pulls,Plastic hand pulls ZP11 , (2) bottom hem,2,BLACK,DARK OLIVE,BLACK,BLACK,AB18MJ1_032
24,36,other,II,Webbing,"Flat Webbing Tape, 8mm", key clip attachment at inside wearer's right pocket,1,BLACK,BLACK,BLACK,BLACK,AB18MJ1_032
25,37,other,JJ,Webbing,flat webbing tape 8mm width, (2)Stopper attachments loops at bottom hem,2,BLACK,BLACK,BLACK,BLACK,AB18MJ1_032
26,38,other,KK,Hardware,"metal eyelets, 12mm (incl. washers)","(4) at hood opening,  (4) inside bottom hem",8,MATTE BLACK BI-48,MATTE BLACK BI-48,MATTE BLACK BI-48,MATTE BLACK BI-48,AB18MJ1_032
27,39,other,LL,Hardware,"Snap Buttons ABSNP_01 (sets), 17mm (incl. washers)"," (1) snap tabs at inside bottom hem,  (2) at powder skirt",3,MATTE BLACK BI-48,MATTE BLACK BI-48,MATTE BLACK BI-48,MATTE BLACK BI-48,AB18MJ1_032
28,40,other,MM,Hardware,Male snap only (incl. washers),(2) powder skirt,2,MATTE BLACK BI-48,MATTE BLACK BI-48,MATTE BLACK BI-48,MATTE BLACK BI-48,AB18MJ1_032
29,41,other,NN, Drawcord,Flat Shoelace drawcord WITH Black Oxidize finish METAL ENDS  w: 1 cm ,Hood Opening,1,BLACK,DARK OLIVE,BLACK,BLACK,AB18MJ1_032
30,42,other,OO,Elastic Drawcord, 2.5 mm elastic cord,bottom hem adjustment,1,BLACK,DARK OLIVE,BLACK,BLACK,AB18MJ1_032
31,43,other,PP,Key Clip,plastic key clip attched with webbing loop,Inside wearers right pocket.,1,BLACK,BLACK,BLACK,BLACK,AB18MJ1_032
32,44,label,QQ,Main Label,ABWV_67 Freedom Main Label,"inside c.b. neck, see Q/A for placement",1,GOLD/BLACK,GOLD/BLACK,GOLD/BLACK,GOLD/BLACK,AB18MJ1_032
33,45,label,RR,Size Label,ABWV_69V Vietnam Size Label,sewn in and centered below main label,1,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD,AB18MJ1_032
34,46,label,SS,W/C Label,Satin Label with print,"wearer's left side seam, 10 cm up from bottom edge",1,BLACK,BLACK,BLACK,BLACK,AB18MJ1_032
35,47,label,TT,ABWVLP_01 Woven loop,ABWVLP_01 (Supplied by SML),inside center back neck seam,1,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD,AB18MJ1_032
36,48,label,UU,Flag  Label,ABLT_01 Flag Label (Pill logo side),RIGHT vent 2cm from bottom of vent,1,BLACK/WHITE,BLACK/WHITE,BLACK/WHITE,BLACK/WHITE,AB18MJ1_032
37,49,other,VV,Branding,ABPR_10 Large Airpill Print,"Centered on wearer's back, see artwork palcement for detail",1,BLACK,BLACK,OXBLOOD 19-1331TPX,CAMEL 17-1019TPX,AB18MJ1_032
38,50,label,WW,Branding,ABWV_103 Awesome Woven Label,"LEFT chest, see art placement for detail",1,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD,AB18MJ1_032
39,53,interfacing,XX,HANGTAG,TBD,TBD,1,TBD,TBD,TBD,TBD,AB18MJ1_032
40,54,interfacing,YY,HANGTAG,TBD,TBD,1,TBD,TBD,TBD,TBD,AB18MJ1_032
41,55,other,ZZ,polybag w/ warning matter,Airpill Logo Print:  16 cm,centered on poly bag,1,CLEAR,CLEAR,CLEAR,CLEAR,AB18MJ1_032
42,56,interfacing,AAA,Country of Origin sticker (supplied by your side),Made in China sticker,Centered above UPC sticker,1,TBD,TBD,TBD,TBD,AB18MJ1_032
43,57,interfacing,BBB,UPC sticker (supplied by your side),Sticker width 3.5 cm,Lookers right bottom corner,1,TBD,TBD,TBD,TBD,AB18MJ1_032
44,62,zipper,3,ZIPPER DIRECTION:,"CF has right hand slider, pocket zippers close down, vents zips close DOWN",,,,,,,
45,64,other,5,HEAT CUT:,"Elastic, webbing, taffeta",,,,,,,
