,material,item,description,spec,width:,weight:,position,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,colorway-7,colorway-8,brand,style,supplier,ref,qty,price/unit,unit,fabric,trims,zipper,outer,inner
11,"meln135, meln135, please source, fs-1175, cifor-56 da8blh1 (e)           , chc-36 dadr2a (e), zp-561/5    , 3/4"" foldable lycra, dp-634, dp-755, w-int-size, 8mm grosgrain ribbon    , ccl-001, po label, w-ht-lay, hangtag chain, fit-ht-gen, fit-ht-athl, dryo-ht-wr-2, duro-ht-uv-2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"sw8337s-p1 printed, ssb-150256, sw8337s-p1 printed, ssb-150256, sw8337s-p1 printed, ssb-150256, cfc-39 dsbyg (h3), please source lace , metal eyelets, film overlay, ht-30, ht-31, ht -14, five12-m-int-ht-l, please source",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"ssb-150256, sw8337s-p1 printed, cifor-39 dsbyg (h3), cfc-39 dsbyg (h3), cfc-39 dsbyg (h3) p12 kensin n-anti p-top reverse rx39 , please source, please source shockcord, p481s001, pca224, 10mm grosgrain ribbon, thread eyelet, ht-01, ht-02, ht-14, five12-w-int-ht-l, five12-m-int-ht-l, self fabric locker loop, womens care label, mens care label ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"sck-2369s (sgb-141907), ht-24, five12-m-int-ht-l, please source",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"sck-2265 ice caf, tonal flatlock stitching, five12-elastic-01, ht - 14, five12-w-int-ht-l",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"sck 2265 ice caf, flatlock stitching, cfc-39 dsbyg (h3), please source, ht-04, ht -14, five12-w-int-ht-l, tba",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"sck 2265 ice caf, sck 2265 ice caf, contrast coverstitching, cfc-39 dsbyg (h3), please source, thread eyelet, ht-03, five12-w-int-ht-l, self fabric locker loop, tba",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"sck-464 ice caf ., sw-8337 s caf, sw-8337 s caf, contrast stitching, cfc-39 dsbyg (h3), please source, ht-04, ht-14, five12-w-int-ht-l, tba    ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"sw -8337 s cafe, sw -8337 s cafe, sck-464 ice caf, sck-464 ice caf, cifor-39 dsbyg (h3), cfc-39 dsbyg (h3), please source, ht-01, ht-02, ht-14, five12-w-int-ht-l, self fabric locker loop, tba",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"sck-2265 ice caf, tonal flatlock stitching, five12-elastic-01, five12-w-int-ht-l, tba",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"sck-464 ice caf, contrast coverstitching, ht-14, five12-w-int-ht-l, tba",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"340gms 80% cotton/20% polyester sweatshirt fabric, 80% cotton/20% polyester rib knit sweatshirt fabric, 340gms 80% cotton/20% polyester sweatshirt fabric, please source, please source, please source, please source, please source, please source",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"340gms 80% cotton/20% polyester sweatshirt fabric, 80% cotton/20% polyester rib knit sweatshirt fabric, please source, please source, please source, please source",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"340gms 80% cotton/20% polyester sweatshirt fabric, 80% cotton/20% polyester rib knit sweatshirt fabric, 340gms 80% cotton/20% polyester sweatshirt fabric, vsol-56 da8lh1 (e), please source, please source, please source, please source, please source, please source",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"fabric, fabric, fabric, fabric, fabric, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, packaging, packaging, packaging, packaging, packaging, fabric, fabric, fabric, fabric, fabric, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, packaging, packaging, packaging, packaging, packaging",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"fabric, fabric, fabric, fabric, fabric, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, packaging, packaging, packaging, packaging, packaging, fabric, fabric, fabric, fabric, fabric, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, packaging, packaging, packaging, packaging, packaging",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,"body fabric, binding , thread, centre front zip , print 1, print 2, print 3, front pocket bag lining, zip on pockets, body fabric, binding , thread, centre front zip , print 1, print 2, print 3, front pocket bag lining, zip on pockets",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"body fabric, panel detail, thread, centre front zip , front pocket zips, drawcord , print 1, print 2, print 3, print 4, front pocket bag, front hood binding, body fabric, panel detail, thread, centre front zip , front pocket zips, drawcord , print 1, print 2, print 3, print 4, front pocket bag, body fabric, panel detail, thread, centre front zip , front pocket zips, drawcord , print 1, print 2, print 3, print 4, front pocket bag, front hood binding, body fabric, panel detail, thread, centre front zip , front pocket zips, drawcord , print 1, print 2, print 3, print 4, front pocket bag",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,"body fabric, rib detail, thread, front pocket edge print, back pocket edge print, drawcord , print 1, print 2, print 3, zip, body fabric, rib detail, thread, front pocket edge print, back pocket edge print, drawcord , print 1, print 2, print 3, zip",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,"body fabric, binding , thread, centre front zip , print 1, print 2, print 3, front pocket bag lining, zip on pockets, body fabric, binding , thread, centre front zip , print 1, print 2, print 3, front pocket bag lining, zip on pockets",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"body fabric, rib detail, thread, front pocket edge print, back pocket edge print, drawcord , print 1, print 2, print 3, zip, body fabric, rib detail, thread, front pocket edge print, back pocket edge print, drawcord , print 1, print 2, print 3, zip",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"fabric/ lining, fabric/ lining, 3 layer backing, 3 layer backing, 3 layer backing, velcro, velcro, tapes, tapes, logo/ branded trims, logo/ branded trims, label, label, zipper, zipper, zipper, zipper, zipper, zipper, zip puller, zip puller, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, stitching, packaging, packaging, packaging, packaging, hang tags, hang tags, hang tags, hang tags, hang tags, fabric/ lining, fabric/ lining, 3 layer backing, 3 layer backing, 3 layer backing, velcro, velcro, tapes, tapes, logo/ branded trims, logo/ branded trims, label, label, zipper, zipper, zipper, zipper, zipper, zipper, zip puller, zip puller, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, stitching, packaging, packaging, packaging, packaging, hang tags, hang tags, hang tags, hang tags, hang tags",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,"fabric/ lining, fabric/ lining, fabric/ lining, fabric/ lining, fabric/ lining, fabric/ lining, seam tape, velcro, velcro, logo, logo, logo, logo, label, label, zipper, zipper, zipper, zipper, zipper, zipper, zipper, zipper, stitching, stitching, zip puller, zip puller, trims, trims, trims, packaging, packaging, packaging, trims, hang tags, hang tags, hang tags, hang tags, hang tags, fabric/ lining, fabric/ lining, fabric/ lining, fabric/ lining, fabric/ lining, fabric/ lining, seam tape, velcro, velcro, logo, logo, logo, logo, label, label, zipper, zipper, zipper, zipper, zipper, zipper, zipper, zipper, stitching, stitching, zip puller, zip puller, trims, trims, trims, packaging, packaging, packaging, trims, hang tags, hang tags, hang tags, hang tags, hang tags",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,"defender§° libolon, defender§°§h+ motley dull, nylon downproof planet, 210t nylon , micromax / polytricot     \n, nylon, sealed seams       \n, topstitching, bartacks, downproof planet print, spacer, downproof planet, 210t nylon     \n, micromax - (polytricot approved 03/08/2016)     \n, fake down     , e loft, e loft, topstitching, bartacks, metallux zipper/ antic silver finishin g5mm autolock, open end1 way, dalh slidersupplier : ykk, 5mm reversible vislonopen end, 1 waydu slidersupplier : ykk, reversed coil zip3mmnon lock, close end1 way, dfbw slidersupplier : ykk, reversed coil zip3mmnon lock, close end1 way, dfbw slidersupplier : ykk, coil zip3mmautolock, open end1 way, da slidersupplier : ykk, rubber pullerref: eiw18-03, puller rubberref: eis19-05supplier : dragon times, drawstring outdoorref: ew026supplier: yf zipper, supplier: yf zippernot elasticcolored pearl, rubber stopperref: eis15u-xmstp01supplier: unitex, colored webbingref: eis15u-xmtre01supplier: yf zipper, to hold stopperseyelet 12mmlocal sourcing, small plastic snapref : eiw16-16, small plastic snapref : eiw16-16, small plastic snapref : eiw16-16, supplier : unitex12mmeider hangloop, ""ref : eiw18-01supplier : yf zipper4mm diameter"", new rubber plate\nref: eiw18-14\nsupplier : clotex \n35 mm x 35 mm, woven big labelref: eiw18-11supplier: sml120x120mm, woven hangloop eiderref: eiw15-07supplier: sml, size woven label mmgalpha women topsupplier: smlref: lws18-04, canadian labelfor paddinglocal sourcing, satin care labelref label 1:  smlcl1ref label 2: smlcl2ref label 3: smlcl3, plastic pinlocal sourcingto be confirmed10cm, white, biggencode stickerlocal sourcing5cm x 5cm, brand hangtageid_1_corporate  (eidht01 / orli : 396031 )supplier: , engagement hangtageid_2_pfcfree  (eidht025 / 396045 :)supplier: triple star, engagement hangtageid_2_lowimpact  (eidht024 / 396070 :)supplier: triple star, fabric hangtageid_3_defender10/10_fst  (eidht0303 / 396050 : )supplier: triple star, eid_4_eloft ball  (eidht043 / 396065 : ), ykkreversed zip5mmref slider dalh, ykkreversible injected zip5mmref slider #du, drawcordref: eis15u-xmco01supplier: yf zipper, elastic with y constructionref wb107supplier: wilson, lycra bias unicolorref: a00a-l11133/20supplier: wilson, new rubber plate\nref: eiw18-14\nsupplier : clotex \n35 mm x 35 mm, woven hangloop eiderref: eiw15-07supplier: sml, made in women topmade in / women/ bl1eitph00esupplier: sml, canadian labelfor paddinglocal sourcing, satin care labelref label 1:  smlcl1ref label 2: smlcl2ref label 3: smlcl3, fabric 1, fabric 2, lining, lining, pockets, pockets, waterproofness\n, threads, threads, fabric 1, lining, lining, lining, lining, insulation\n\n\n\n\n\n\n\n\n\n, insulation\n\n\n\n\n\n\n\n\n\n, insulation\n\n\n\n\n\n\n\n\n\n, threads, threads, zippers, zippers, zippers, zippers, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, labels, labels, labels, labels, labels, labels, hangtas, hangtas, hangtas, hangtas, hangtas, hangtas, hangtas, zippers, zippers, trims, trims, trims, labels, labels, labels, labels, labels",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"defender§° libolon, defender§°§h+ oxford, defender§° motley dull, defender§° motley dull, shell fabric, black nylon , thermo honeycomb biface, downproof planet, mesh stretch, goggle cleaner, cire taffetas, foam reinforcement, micromax, nylon, padded eloft / pm quality , eloft / pm quality, eloft / pm quality, eloft / pm quality, sealed seams, sealon tape, topstitching, bartacks, waterproofvislon zip5mmautolock, open end1 way, dalh slider, waterproofvislon zip3mmautolock, close end1 way, dalh slider, coil zip3mmautolock, close end1 way, dalh slider, coil zip3mmnon lock, close end1 way, dfbw slider, reversed coil zip3mmnon lock, close end1 way, dfbw slider, coil zip3mmautolock, open end1 way, da slider, coil zip3mmautolock, close end1 way, dalh slider, coil zip3mmautolock, close end1 way, dalh slider, rubber pullerref: eiw18-03, puller rubberref: eis19-05supplier : dragon times, puller rubberref: eis19-05supplier : dragon times, puller rubberref: eis19-05supplier : dragon times, drawcordref: eis15u-xmco01supplier: yf zippernot elastic, drawcordref: eis15u-xmco01supplier: yf zippernot elastic, drawstring outdoorref: ew026supplier: yf zipperelastic, drawstring outdoorref: ew026supplier: yf zipperelastic, cord lockref: eiw17-02supplier: dragon timesuse with 2mm drawstring, rubber stopperref: eis15u-xmstp01supplier: unitex2cm x 1cm, rubber stopperref: eis15u-xmstp01supplier: unitex2cm x 1cm, colored eyeletref: eis15u-xmoei01supplier: unitex9mm, big eyelet12mmlocal sourcing, colored pearlsupplier: unitex, colored pearlsupplier: unitex, colored webbingref: eis15u-xmtre01supplier: yf zipper0,5cm wideto hold stoppers, colored webbingref: eis15u-xmtre01supplier: yf zipper0,5cm wideto hold stoppers, ""eider hangloopref : eiw18-01supplier : yf zipper4mm diameter"", soft webbing for liningref:eiw17-15  supplier:  dragon times1cm, soft webbing for liningref:eiw17-15  supplier:  dragon times1cm, velcro hook + velvetlocal sourcing, no slip elastic 25mmsiliconeref: eis17-08supplier: benefit, small plastic snapref : eiw16-16supplier : unitex12mm, large elasticref: ew17-14supplier: wilson, lycra bias unicolorref: a00a-l11133/20supplier: wilson, elastic webbing 10mm18cm fininshed lenghtlocal sourcing, rubber earphone holeref: pa-a2  mp3 rubbert bsupplier: yf zipper, new rubber plate\nref: eiw18-14\nsupplier : clotex \n35 mm x 35 mm, woven big labelref: eiw18-11supplier: sml120x120mm, newsize woven label mmgalpha men topsupplier: smlref: lws18-01with rn + ca numbers, canadian labelfor paddinglocal sourcing, satin care labelref label 1:  smlcl1ref label 2: smlcl2ref label 3: smlcl3supplier: sml, plastic pinlocal sourcingto be confirmed10cm, white, biggencode stickerlocal sourcing5cm x 5cm, brand hangtageid_1_corporate  (eidht01 / orli : 396031 )supplier: , engagement hangtageid_2_lowimpact  (eidht024 / 396070 :)supplier: triple star, fabric hangtageid_3_defender10/10_fst  (eidht0303 / 396050 : )supplier: triple star, shell, shell, shell, shell, lining, lining, lining, lining, lining, lining, lining, lining, pockets, pockets, insulation\n\n\n\n\n\n\n\n\n\n, insulation\n\n\n\n\n\n\n\n\n\n, insulation\n\n\n\n\n\n\n\n\n\n, insulation\n\n\n\n\n\n\n\n\n\n, waterproofness\n, tape, threads, threads, zippers, zippers, zippers, zippers, zippers, zippers, zippers, zippers, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, labels, labels, labels, labels, labels, hangtas, hangtas, hangtas, hangtas, hangtas",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,"new defender discovery, defender§°§h+ motley dull, downproof planet, 210t nylon , polytricot, micromax / polytricot, nylon, sealed seams, topstitching, bartacks, downproof planet, downproof planet, 210t nylon, micromax - (polytricot approved 03/08/2016), fake down primaloft black, e loft, topstitching, bartacks, vislon zip5mmautolock, open end1 way, dalh slider, 5mm reversible vislonopen end, 1 waydu slider, reversed coil zip3mmnon lock, close end1 way, dfbw slider, reversed coil zip3mmnon lock, close end1 way, dfbw slider, vislon zip5mmautolock, close end1 way, dalh slider, coil zip3mmautolock, open end1 way, da slider, puller rubberref: eiw18-03, puller rubberref: eis19-05supplier : dragon times, puller rubberref: eis19-05supplier : dragon times, drawstring outdoorref: ew026supplier: yf zipper0,2cmelastic, drawcordref: eis15u-xmco01supplier: yf zippernot elastic, colored pearleis15u-xmper01supplier: unitex, rubber stopperref: eis15u-xmstp01supplier: unitex, colored webbingref: eis15u-xmtre01supplier: yf zipperto hold stoppers, eyelet 12mmlocal sourcing, small plastic snapref : eiw16-16supplier : unitex12mm, ""eider hangloopref : eiw18-01supplier : yf zipper4mm diameter"", new rubber plate\nref: eiw18-14\nsupplier : clotex \n35 mm x 35 mm, woven hangloop eiderref: eiw15-07supplier: sml, size woven label mmgalpha women topsupplier: smlref: lws18-04with rn + ca numbers, canadian labelfor paddinglocal sourcing, satin care labelref label 1:  smlcl1ref label 2: smlcl2ref label 3: smlcl3supplier: sml, plastic pinlocal sourcingto be confirmed10cm, white, biggencode stickerlocal sourcing5cm x 5cm, brand hangtageid_1_corporate  (eidht01 / orli : 396031 )supplier: triple star, engagement hangtageid_2_pfcfree  (eidht025 / 396045 :)supplier: triple star, engagement hangtageid_2_lowimpact  (eidht024 / 396070 :)supplier: triple star, fabric hangtageid_3_defender10/10_fst  (eidht0303 / 396050 : )supplier: triple star, ykkreversed zip5mmref slider dalh, ykkreversible injected zip5mmref slider #du, drawcordref: eis15u-xmco01supplier: yf zippernot elastic, new under dev.drawstring outdoorref: ew026supplier: yf zipper0,2cmelastic, new under dev.drawstring outdoorref: ew026supplier: yf zipper0,2cmelastic, lycra bias unicolorref: a00a-l11133/20supplier: wilson, woven hangloop eiderref: eiw15-07supplier: sml, made in women topmade in / women/ bl1eitph00esupplier: sml, canadian labelfor paddinglocal sourcing, satin care labelref label 1:  smlcl1ref label 2: smlcl2ref label 3: smlcl3supplier: sml, new rubber plate\nref: eiw18-14\nsupplier : clotex \n35 mm x 35 mm, fabric 1, fabric 2, lining, lining, lining, pockets, pockets, waterproofness, threads, threads, fabric 1, lining, lining, lining, insulation, insulation, threads, threads, zippers, zippers, zippers, zippers, zippers, zippers, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, labels, labels, labels, labels, labels, hangtas, hangtas, hangtas, hangtas, hangtas, hangtas, zippers, zippers, trims, trims, trims, trims, labels, labels, labels, labels, labels",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,"defender discovery 2, shell fabric, black nylon , lycra, thermo honeycomb biface, downproof planet, mesh stretch, goggle cleaner, cire taffetas, foam reinforcement, micromax, nylon, eloft / pm quality, eloft / pm quality, eloft / pm quality, sealed seams, topstitching, bartacks, vislon zip5mmautolock, open end1 way, dalh slidersupplier : ykk, waterproofvislon zip5mmautolock, close end1 way, dalh slider, coil zip3mmautolock, close end1 way, dalh slider, coil zip3mmautolock, close end1 way, dalh slider, coil zip3mmnon lock, close end1 way, dfbw slider, reversed coil zip3mmnon lock, close end1 way, dfbw slider, coil zip3mmautolock, open end1 way, da slider, puller rubberref: eiw18-03supplier : dragon times, puller rubberref: eis19-05supplier : dragon times, puller rubberref: eis19-05supplier : dragon times, puller rubberref: eis19-05supplier : dragon times, drawcordref: eis15u-xmco01supplier: yf zippernot elastic, drawstring outdoorref: ew026supplier: yf zipperelastic, cord lockref: eiw17-02supplier: dragon timesuse with 2mm drawstring, rubber stopperref: eis15u-xmstp01supplier: unitex2cm x 1cm, colored eyeletref: eis15u-xmoei01supplier: unitex9mm, eyeleteis15u-xmoei01, colored pearleis15u-xmper01supplier: unitex, colored pearleis15u-xmper01supplier: unitex, colored webbingref: eis15u-xmtre01supplier: yf zipper0,5cm wideto hold stoppers, colored webbingref: eis15u-xmtre01supplier: yf zipper0,5cm wideto hold stoppers, ""eider hangloopref : eiw18-01supplier : yf zipper4mm diameter"", soft webbing for liningref:eiw17-15  supplier:  dragon times1cm, eider snapref : eiw18-04supplier : unitex17mm, no slip elastic 25mmsiliconeref: eis17-08supplier: benefit, small plastic snapref : eiw16-16supplier : unitex12mm, large elasticref: ew17-14supplier: wilson, lycra bias unicolorref: a00a-l11133/20supplier: wilson, elastic webbing 10mm18cm fininshed lenghtlocal sourcing, herringbone webbingsupplier : wilson, velcrounder front flap1,2cm widthlocal sourcing, rubber earphone holeref: pa-a2  mp3 rubbert bsupplier: yf zipper, new rubber plate\nref: eiw18-14\nsupplier : clotex \n35 mm x 35 mm, woven big labelref: eiw18-11supplier: sml120x120mm, newsize woven label mmgalpha men topsupplier: smlref: lws18-01with rn + ca numbers, canadian labelfor paddinglocal sourcing, satin care labelref label 1:  smlcl1ref label 2: smlcl2ref label 3: smlcl3supplier: sml, plastic pinlocal sourcingto be confirmed10cm, white, biggencode stickerlocal sourcing5cm x 5cm, brand hangtageid_1_corporate  (eidht01 / orli : 396031 )supplier: , engagement hangtageid_2_pfcfree  (eidht025 / 396045 :)supplier: triple star, engagement hangtageid_2_lowimpact  (eidht024 / 396070 :)supplier: triple star, fabric hangtageid_3_defender10/10_fst  (eidht0303 / 396050 : )supplier: triple star, fabric 1, lining, lining, lining, lining, lining, lining, lining, lining, lining, pockets, pockets, insulation, insulation, insulation, waterproofness, threads, threads, zippers, zippers, zippers, zippers, zippers, zippers, zippers, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, trims, labels, labels, labels, labels, labels, hangtas, hangtas, hangtas, hangtas, hangtas, hangtas",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
