,Style,position,item,ref num,content,colorway 1 ,colorway 2,colorway 3,none,none.1,none.2,amount,0,0.1,0.2,location ,silt,military,ink,port,bone,black,walnut,location,colorway 1,colorway 4,colorway 5,colorway 6,soil,vintage camo broken twill,dusty green,0.3,soil / black,black / oxblood,gunmetal / bombay,dark slate,rust,raven,none.3,none.4,slider ref number,floral print broken twill,black/ rust,bone/ black,gunmetal/ ink,details,colorways,0.4,black overdye denim,brown overdye denim,bone/floral print,rust / black,ink / gunmetal,gunmetal,silt ,bone ,silt / gunmetal,walnut / ink,camo,sand / dark slate,harvest / raven,raw blue denim,pink,ref number,winter 2018/2019,contractor:,soluna
7,L1-102-17_WINDSOR_TRIMS.csv,side entry hand pockets, self fabric pull,factory made // 11nt-045 ,,shell fabric matching,none,none,,,,1 per side = 2,none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,L1-102-17_WINDSOR_TRIMS.csv,inside pocket, self fabric pull,factory made // 11nt-045 ,,shell fabric matching,none,none,,,,1,none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,L1-102-17_WINDSOR_TRIMS.csv,l1 branded trims,item,supplier/ ref number,,colorway 1 ,colorway 2,colorway 3,,,,amount,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,L1-102-17_WINDSOR_TRIMS.csv,front left sleeve,l1 small embroidery,soluna / l1-2016-026,,dtm,none,none,,,,1,none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,L1-102-17_WINDSOR_TRIMS.csv,back right ,l1 large embroidery,soluna / l1-2016-027,,dtm,none,none,,,,1,none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,L1-102-17_WINDSOR_TRIMS.csv,front placket and pocket flaps,l1 snap,luks / l1-2016-trim-001,,pseudo anti silver,none,none,,,,8,none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,L1-102-17_WINDSOR_TRIMS.csv,right hand pocket,l1 new patch,luks / new trim ,,tbd,none,none,,,,1,none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,L1-102-17_WINDSOR_TRIMS.csv,snaps,item,supplier/ ref number,,colorway 1 ,colorway 2,colorway 3,,,,amount,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,L1-102-17_WINDSOR_TRIMS.csv,cf powder skirt closure,14 mm plastic snap,duraflex / 1414,,black,none,none,,,,"4 male, 2 female",none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,L1-102-17_WINDSOR_TRIMS.csv,pow skirt: jacket to pant connection on powderskirt hem,14 mm plastic snap,duraflex / 1414,,black,none,none,,,,3 sets,none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,L1-102-17_WINDSOR_TRIMS.csv,"""snap away powder skirt"" snap powder skirt to front facing when not in use",14 mm plastic snap,duraflex / 1414,,black,none,none,,,,"1 male, 1 female",none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,L1-102-17_WINDSOR_TRIMS.csv,cord locks,item,supplier/ ref number,,colorway 1 ,colorway 2,colorway 3,,,,amount,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,L1-102-17_WINDSOR_TRIMS.csv,back hood cord lock,cord lock,knk / sp-177,,tbd,none,none,,,,1 per side = 2,none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,L1-102-17_WINDSOR_TRIMS.csv,back hood cord lock tip,cord tip,knk / cs-074,,tbd,none,none,,,,1 per side = 2,none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,L1-102-17_WINDSOR_TRIMS.csv,front hood cord locks,cord lock,knk / sp-204,,tbd,none,none,,,,1 per side = 2,none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,L1-102-17_WINDSOR_TRIMS.csv,hem cord locks,cord lock,knk /  sp-058,,tbd,none,none,,,,1 per side = 2,none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,L1-102-17_WINDSOR_TRIMS.csv,pocket cord tip,cord lock,knk / cs-1,,tbd,none,none,,,,1 per side = 2,none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,L1-102-17_WINDSOR_TRIMS.csv,grommets,item,supplier/ ref number,,colorway 1 ,colorway 2,colorway 3,,,,amount,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,L1-102-17_WINDSOR_TRIMS.csv,back hood cord exit,grommet 11.5 mm (large),please sorce,,pseudo anti silver ,none,none,,,,1 per side = 2,none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,L1-102-17_WINDSOR_TRIMS.csv,front hood adjust cord exit,grommet  8mm diameter,please sorce,,pseudo anti silver ,none,none,,,,2 per side = 4,none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,L1-102-17_WINDSOR_TRIMS.csv,hem adjust cord exit,grommet  8mm diameter,please sorce,,pseudo anti silver ,none,none,,,,2 per side = 4,none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,L1-102-17_WINDSOR_TRIMS.csv,hem adjust cord exit in lining pocket,grommet  8mm diameter,please sorce,,pseudo anti silver ,none,none,,,,1 per side = 2,none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,L1-102-17_WINDSOR_TRIMS.csv,shockcord,item,supplier/ ref number,,colorway 1 ,colorway 2,colorway 3,,,,amount,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,L1-102-17_WINDSOR_TRIMS.csv,webbing ,item,supplier/ ref number,,colorway 1 ,colorway 2,colorway 3,,,,amount,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,L1-102-17_WINDSOR_TRIMS.csv,keyclip loop right hand pocket,"1/4"" flat x 1 3/4"" loop",suppler / ref nuber,,black,none,none,,,,1,none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,L1-102-17_WINDSOR_TRIMS.csv,hem & hood cord lock tie downs,"1/4"" flat webbing loop",suppler / ref nuber,,black,none,none,,,,5,none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,L1-102-17_WINDSOR_TRIMS.csv,right hand pocket,plastic keyclip ,suppler / ref nuber,,black,none,none,,,,1,none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,L1-102-17_WINDSOR_TRIMS.csv,jacket to pant connection center back ,"3/4"" x 1"" finished ",suppler / ref nuber,,black,none,none,,,,tab behind each snap = 2,none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,L1-102-17_WINDSOR_TRIMS.csv,jacket to pant connection at side tabs,"3/4"" x 3 1/4"" flat webbing",suppler / ref nuber,,black,none,none,,,,1,none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,L1-102-17_WINDSOR_TRIMS.csv,elastic,item,supplier/ ref number,,colorway 1 ,colorway 2,colorway 3,,,,amount,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,L1-102-17_WINDSOR_TRIMS.csv,powder skirt gripper elastic,25mm,suppler / ref nuber,,stock,none,none,,,,1,none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,L1-102-17_WINDSOR_TRIMS.csv,goggle pocket,elastine binding,suppler / ref nuber,,black,none,none,,,,1,none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,L1-102-17_WINDSOR_TRIMS.csv,lining media pocket cable guide,"1/4"" flat elastic",suppler / ref nuber,,black,none,none,,,,1,none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,L1-102-17_WINDSOR_TRIMS.csv,jacket to pant connection center back tab,"flat elastic tape 3/4"" x 4 1/4""",suppler / ref nuber,,black,none,none,,,,1,none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,L1-102-17_WINDSOR_TRIMS.csv,velcro,item,supplier/ ref number,,colorway 1 ,colorway 2,colorway 3,,,,amount,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,L1-102-17_WINDSOR_TRIMS.csv,cuff ,2.5cm x 9cm,paiho / loop#1057,,matching,none,none,,,,1 loop tab,none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,L1-102-17_WINDSOR_TRIMS.csv,cuff tab,2.5cm x 6.5cm,paiho / hooketn7,,matching,none,none,,,,1 hook tab,none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,L1-102-17_WINDSOR_TRIMS.csv,cf placket,1.3 cm x 7.5cm,paiho / hooketn7 / loop#1057,,matching,none,none,,,,4 sets,none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,L1-102-17_WINDSOR_TRIMS.csv,hand & chest pocket flaps,1.3 cm x 4cm,paiho / hooketn7 / loop#1057,,matching,none,none,,,,2 sets  per pocket flap,none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,L1-102-17_WINDSOR_TRIMS.csv,thread,spi,ref number,,colorway 1 ,colorway 2,colorway 3,,,,amount,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,L1-102-17_WINDSOR_TRIMS.csv,marketing,description,ref number,,colorway 1 ,colorway 2,colorway 3,,,,amount,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,L1-102-17_WINDSOR_TRIMS.csv,lining left side seam,address label,sew as loop,,address label,none,none,,,,1,none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,L1-102-17_WINDSOR_TRIMS.csv,lining left side seam,content label,sew as loop,,content label,none,none,,,,1,none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,L1-102-17_WINDSOR_TRIMS.csv,lining left side seam,washing label,sew as loop,,washing label,none,none,,,,1,none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,L1-102-17_WINDSOR_TRIMS.csv,front left belt loop to attach hang tags,clear zip tie,supplier // ,,clear zip tie,none,none,,,,1,none,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,L1TA-204-18_HEARTBREAKER_TWILL_04_05_17_SHELL.csv,cavalry stretch twill,,raco / calvary stretch twill 950703-b / 10k/10k / c6 + dwr,none,,,,,,,,,,,a,silt,military,ink,port,bone,black,walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,L1TA-204-18_HEARTBREAKER_TWILL_04_05_17_SHELL.csv,brown faux leather,,please source,none,,,,,,,,,,,back right belt loop,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,L1TA-204-18_HEARTBREAKER_TWILL_04_05_17_SHELL.csv,insulation,,supplier/ reference number,content,,,,,,,,,,,location ,silt,military,ink,port,bone,black,walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,L1TA-204-18_HEARTBREAKER_TWILL_04_05_17_SHELL.csv,seam tape,,supplier/ reference number,content,,,,,,,,,,,location ,silt,military,ink,port,bone,black,walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,L1TA-204-18_HEARTBREAKER_TWILL_04_05_17_SHELL.csv,seam tape,,tsgs ,none,,,,,,,,,,,critically taped,critically taped,critically taped,critically taped,critically taped,critically taped,critically taped,critically taped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,L1TA-204-18_HEARTBREAKER_TWILL_04_05_17_SHELL.csv,lining,,supplier/ reference number,content,,,,,,,,,,,location ,silt,military,ink,port,bone,black,walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,L1TA-204-18_HEARTBREAKER_TWILL_04_05_17_SHELL.csv,regular mesh,,1606b02 (als-16038),100% polyester,,,,,,,,,,,main body,black,black,black,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,L1TA-204-18_HEARTBREAKER_TWILL_04_05_17_SHELL.csv,solid 210t ,,solis/ sonp006-1 ,100% nylon,,,,,,,,,,,secondary pocket bags,black,black,black,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,L1TA-204-18_HEARTBREAKER_TWILL_04_05_17_SHELL.csv,solid coated 210t ,,solis / sonp006-pu03,100% nylon,,,,,,,,,,,lower leg & gaiter,black,black,black,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,L1TA-204-18_HEARTBREAKER_TWILL_04_05_17_SHELL.csv,brushed tricot,,supplier / ref code,100% polyester,,,,,,,,,,,"waistband, fly, hand pocket bags",black,black,black,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,L1TA-204-18_HEARTBREAKER_TWILL_04_05_17_SHELL.csv,lower leg lining print (see pdf),,supplier/ reference number,content,,,,,,,,,,,location ,silt,military,ink,port,bone,black,walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,L1TA-204-18_HEARTBREAKER_TWILL_04_05_17_SHELL.csv,on coated 210t,,please source ,none,,,,,,,,,,,lower leg front and back,pantone 16-5807 tcx silt ,pantone 16-5807 tcx silt ,pantone 16-5807 tcx silt ,pantone 16-5807 tcx silt ,pantone 16-5807 tcx silt ,pantone 16-5807 tcx silt ,pantone 16-5807 tcx silt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,L1-103-18_GRIMEY_4-03-17_TRIMS.csv, #8 metal zipper,,ykk / 2-way semi auto locking with 2 l1 custom pulls,,,,,,,,1,none,none,none,,,slider/pull/ teeth color: x antique copper zipper tape color: 19-0515 tcx military,,,,slider/pull/ teeth color: x antique copper zipper tape color: 19-4006 tcx black,slider/pull/ teeth color: x antique copper zipper tape color: 18-0513 tcx walnut,center front,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,L1-103-18_GRIMEY_4-03-17_TRIMS.csv, #5 metal zipper,,non ykk / 1-way dadhr die cast wire non locking,,,,,,,,1,none,none,none,,,slider/pull/ teeth color: x antique copper zipper tape color: 19-0515 tcx military,,,,slider/pull/ teeth color: x antique copper zipper tape color: 19-4006 tcx black,slider/pull/ teeth color: x antique copper zipper tape color: 18-0513 tcx walnut,sleeve pocket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,L1-103-18_GRIMEY_4-03-17_TRIMS.csv, #5 coil zipper,,non ykk / 1-way dadhr die cast wire non locking,,,,,,,,1 per side = 2,none,none,none,,,silder/pull color: x antique copper/ zipper tape/ teeth color: black,,,,silder/pull color: x antique copper/ zipper tape/ teeth color: black,silder/pull color: x antique copper/ zipper tape/ teeth color: black,underarm vents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,L1-103-18_GRIMEY_4-03-17_TRIMS.csv, #5 coil zipper,,non ykk / 1-way dadhr die cast wire non locking,,,,,,,,1 per side = 2,none,none,none,,,slider/pull color: x antique copper zipper tape / teeth color: black,,,,slider/pull color: x antique copper zipper tape / teeth color: black,slider/pull color: x antique copper zipper tape / teeth color: black,hand pockets vertical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,L1-103-18_GRIMEY_4-03-17_TRIMS.csv, #5 coil zipper,,non ykk / 1-way dadhr die cast wire non locking,,,,,,,,1,none,none,none,,,silder/pull color: x antique copper/ zipper tape/ teeth color: black,,,,silder/pull color: x antique copper/ zipper tape/ teeth color: black,silder/pull color: x antique copper/ zipper tape/ teeth color: black,lining pocket vertical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,L1-103-18_GRIMEY_4-03-17_TRIMS.csv,additional zipper pulls,,supplier/ reference number,,,,,,,,amount,0,0,0,,,military,,,,black,walnut,location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,L1-103-18_GRIMEY_4-03-17_TRIMS.csv,"l1-2018-trim-017
l1 zipper pull. graphic debossed 1mm 3.2 cm x 0.92 cm",,ykk,,,,,,,,top and bottom pull = 2,none,none,none,,,ykk x antique copper,,,,ykk x antique copper,ykk x antique copper,center front,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,L1-103-18_GRIMEY_4-03-17_TRIMS.csv,"l1-2018-trim-018
non branded zipper pull. faux leather",,please source: same supplier as other faux leather trims,,,,,,,,3,none,none,none,,,black faux leather,,,,black faux leather,black faux leather,sleeve pocket (1) hand pockets (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,L1-103-18_GRIMEY_4-03-17_TRIMS.csv, 11nt-045 / self fabric pull ,,factory made,,,,,,,,1 per side = 2,none,none,none,,,match to shell,,,,match to shell,match to shell,underarm vents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,L1-103-18_GRIMEY_4-03-17_TRIMS.csv, 11nt-045 / self fabric pull ,,factory made,,,,,,,,1,none,none,none,,,match to shell,,,,match to shell,match to shell,lining pocket vertical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,L1-103-18_GRIMEY_4-03-17_TRIMS.csv,branded trims,,supplier/ reference number,,,,,,,,amount,0,0,0,,,military,,,,black,walnut,location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,L1-103-18_GRIMEY_4-03-17_TRIMS.csv,"l1-2018-trim-007
large black faux leather hem wrap",,please source: same supplier as other faux leather trims,,,,,,,,1,none,none,none,,,black faux leather,,,,black faux leather,black faux leather,left hand pocket hem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,L1-103-18_GRIMEY_4-03-17_TRIMS.csv,"l1-2018-trim-002
black faux leather patch",,please source: same supplier as other faux leather trims,,,,,,,,1,none,none,none,,,black faux leather,,,,black faux leather,black faux leather,front right hem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,L1-103-18_GRIMEY_4-03-17_TRIMS.csv,"l1-2018-trim-024/  l1 embroidery small
3cm x 2.77cm  ",,soluna,,,,,,,,1,none,none,none,,,match to shell,,,,match to shell,match to shell,left sleeve hem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,L1-103-18_GRIMEY_4-03-17_TRIMS.csv,"l1-2018-trim-025 /
l1 embroidery large
3.7cm x 3.4cm  ",,soluna,,,,,,,,1,none,none,none,,,match to shell,,,,match to shell,match to shell,back right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,L1-103-18_GRIMEY_4-03-17_TRIMS.csv,trims,,supplier/ reference number,,,,,,,,amount,0,0,0,,,military,,,,black,walnut,location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,L1-103-18_GRIMEY_4-03-17_TRIMS.csv,15mm metal snap,,luk's / 404,,,,,,,,2,none,none,none,,,doxcp oxidized copper,,,,doxcp oxidized copper,doxcp oxidized copper,front placket (hidden at chin),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,L1-103-18_GRIMEY_4-03-17_TRIMS.csv,15mm metal snap,,luk's / 404,,,,,,,,1,none,none,none,,,doxcp oxidized copper,,,,doxcp oxidized copper,doxcp oxidized copper,front placket (hidden at hem),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,L1-103-18_GRIMEY_4-03-17_TRIMS.csv,15mm metal snap,,luk's / 404,,,,,,,,"2 female, 4 male",none,none,none,,,al023 alloy (d) cap / doxcp oxidized copper,,,,al023 alloy (d) cap / doxcp oxidized copper,al023 alloy (d) cap / doxcp oxidized copper,powder skirt - front closure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,L1-103-18_GRIMEY_4-03-17_TRIMS.csv,15mm metal snap,,luk's / 404,,,,,,,,1 male 1 female,none,none,none,,,al023 alloy (d) cap / doxcp oxidized copper,,,,al023 alloy (d) cap / doxcp oxidized copper,al023 alloy (d) cap / doxcp oxidized copper,snap away powder skirt - lining facing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,L1-103-18_GRIMEY_4-03-17_TRIMS.csv,15mm metal snap,,luk's / 404,,,,,,,,3 sets,none,none,none,,,al023 alloy (d) cap / doxcp oxidized copper,,,,al023 alloy (d) cap / doxcp oxidized copper,al023 alloy (d) cap / doxcp oxidized copper,powder skirt - jacket to pant connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,L1-103-18_GRIMEY_4-03-17_TRIMS.csv,metal eyelets 8mm,,luk's / et04,,,,,,,,2 per side = 4,none,none,none,,,doxcp oxidized copper,,,,doxcp oxidized copper,doxcp oxidized copper,hood cord exit front,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,L1-103-18_GRIMEY_4-03-17_TRIMS.csv,metal eyelets 8mm,,luk's / et04,,,,,,,,2 per side = 4,none,none,none,,,oxcp oxidized copper,,,,oxcp oxidized copper,oxcp oxidized copper,hem cord exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,L1-103-18_GRIMEY_4-03-17_TRIMS.csv,cord lock: small cord lock with tie down,,sun sun/ sv160824-2a,,,,,,,,1 per side = 2,none,none,none,,, 19-0515 tcx military,,,,19-4006 tcx black,18-0513 tcx walnut,front hood adjust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,L1-103-18_GRIMEY_4-03-17_TRIMS.csv,metal shockcord tip,,see photo,,,,,,,,1 per side = 2,none,none,none,,,doxcp oxidized copper,,,,doxcp oxidized copper,doxcp oxidized copper,front hood shockcord ends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
