,,MATERIAL_ID,CATEGORY,,,,position,,color_way_1,color_way_2,color_way_3,color_way_4
15,15.0,24.0,other,GG,Hardware,"Snap Buttons ABSNP_01 (sets), 17 mm (incl. washers)","(1) fly opening,",1.0,DARK ANTI BRASS BI-18,DARK ANTI BRASS BI-18,DARK ANTI BRASS BI-18,DARK ANTI BRASS BI-18
16,16.0,25.0,other,HH,Hardware,12mm Metal eyelet  (incl. washers),"(2)waistband, (1) LEFT belt loop",3.0,DARK ANTI BRASS BI-18,DARK ANTI BRASS BI-18,DARK ANTI BRASS BI-18,DARK ANTI BRASS BI-18
17,17.0,26.0,other,II,Hardware,metal lace hooks,inside gators at c.f,2.0,BLACK OXIDIZED,BLACK OXIDIZED,BLACK OXIDIZED,BLACK OXIDIZED
18,18.0,27.0,other,JJ,Key Clip,plastic key clip attched with webbing loop,inside w. right pocket,1.0,BLACK,BLACK,BLACK,BLACK
19,19.0,28.0,other,KK,Webbing,8 mm  width webbing,key clip attachment,1.0,BLACK,BLACK,BLACK,BLACK
20,20.0,29.0,other,LL,Drawcord,Polyester Flat Lace drawcord with metal sealed ends.  w:1 cm,Waistband,1.0,BLACK,BLACK,BLACK,BLACK
21,21.0,30.0,other,MM,Elastic,gripper elastic,at inside lower leg gators,1.0,BLACK,BLACK,BLACK,BLACK
22,22.0,31.0,label,NN,Main Label,ABWV_67 Freedom Main Label,"inside c.b. waist, see Q/A for reference",1.0,OLIVE/BLACK,OLIVE/BLACK,OLIVE/BLACK,OLIVE/BLACK
23,23.0,32.0,label,OO,Size Label,ABWV_69V vietnam Size Label,sewn in and centered below ABWV_110,1.0,OLIVE/BLACK,OLIVE/BLACK,OLIVE/BLACK,OLIVE/BLACK
24,24.0,33.0,label,PP,W/C Label,wash and care,"inside wearers left side seam, 8 cm down from waistband seam",1.0,BLACK,BLACK,BLACK,BLACK
25,25.0,34.0,label,QQ,ABWVLP_01 Woven loop,ABWVLP_01 (Supplied by SML),inside center back waist seam,1.0,OLIVE/BLACK,OLIVE/BLACK,OLIVE/BLACK,OLIVE/BLACK
26,26.0,35.0,other,RR,Branding,ABEM_122 Block text embroidery,"RIGHT back butt patch, see placement page for detail",1.0,VINTAGE BLACK 70021,BLACK,DARK NAVY 30055,BLACK
27,27.0,36.0,label,SS,Branding,ABWV_110 Monder Athlete Woven Label,Centered 3cm below ABWV_67,1.0,BLACK/OFF WHITE/ OLIVE,BLACK/OFF WHITE/ OLIVE,BLACK/OFF WHITE/ OLIVE,BLACK/OFF WHITE/ OLIVE
28,28.0,37.0,other,WW,,,PACKAGING/HANG TAGS (Bulk only),,,,,
29,29.0,38.0,interfacing,TT,Hangtag,TBD,At CF zipper - order of hangtags is TBD,1.0,TBD,TBD,TBD,TBD
30,30.0,39.0,interfacing,UU,Hangtag,TBD,At CF zipper - order of hangtags is TBD,1.0,TBD,TBD,TBD,TBD
31,31.0,40.0,other,VV,polybag w/ warning matter,Airpill Logo Print:  16 cm,centered on poly bag,1.0,BLACK,BLACK,BLACK,BLACK
32,32.0,41.0,other,WW,Country of Origin sticker (supplied by your side),Made in China sticker,Centered above UPC sticker,1.0,WHITE,WHITE,WHITE,WHITE
33,33.0,42.0,other,XX,UPC sticker (supplied by your side),Sticker width 3.5 cm,Lookers right bottom corner,1.0,WHITE,WHITE,WHITE,WHITE
34,34.0,46.0,zipper,3,ZIPPER DIRECTION:,"CF has right hand slider, pocket zippers close down, 1-way zippers at vents (Zippers CLOSE DOWN)",,,,,,
35,35.0,48.0,other,5,HEAT CUT:,"Elastic, webbing, taffeta",,,,,,
