RECORD_ID,Csv,Rows,SUBJECT,VOCAB_SIZE,Test_size,True_Positives,True_Negatives,False_Positives,False_Negatives,TRUE_in y_test,Recall_Score,Precision_Score,F1-Score
77,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,spec,900,0.1,10,245,7,0,17,58.82%,0.588,0.59
78,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,spec,900,0.1,10,262,3,0,21,47.62%,0.769,0.59
79,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,spec,900,0.1,15,247,9,1,21,71.43%,0.625,0.67
80,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,spec,900,0.1,13,248,8,1,23,56.52%,0.619,0.59
81,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,spec,900,0.1,15,246,8,1,24,62.50%,0.652,0.64
82,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,spec,900,0.1,8,264,9,0,15,53.33%,0.471,0.5
83,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,spec,900,0.1,11,249,11,1,19,57.89%,0.5,0.54
84,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,spec,900,0.1,10,266,8,2,17,58.82%,0.556,0.57
85,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,spec,900,0.1,17,257,7,0,26,65.38%,0.708,0.68
86,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,spec,900,0.1,12,258,4,0,17,70.59%,0.75,0.73
87,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,spec,900,0.1,12,257,7,2,16,75.00%,0.632,0.69
88,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,qty,900,0.1,9,256,3,0,22,40.91%,0.75,0.53
89,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,qty,900,0.1,7,256,4,0,19,36.84%,0.636,0.47
90,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,qty,900,0.1,12,252,2,1,21,57.14%,0.857,0.69
91,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,description,900,0.1,17,230,23,10,28,60.71%,0.425,0.5
92,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,description,200,0.1,16,175,22,14,32,50.00%,0.421,0.46
93,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,description,50,0.1,9,164,20,5,23,39.13%,0.31,0.35
94,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,description,1350,0.1,12,224,24,10,23,52.17%,0.333,0.41
95,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,color_way,1350,0.1,75,200,4,0,97,77.32%,0.949,0.85
96,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,color_way,1350,0.1,73,194,6,0,94,77.66%,0.924,0.84
97,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,color_way,1350,0.1,58,200,7,0,91,63.74%,0.892,0.74
98,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,color_way,1350,0.1,69,202,2,2,105,65.71%,0.972,0.78
99,col_classify_matrix_trimed_20200330.csv,3833,color_way,1350,0.1,67,209,3,0,91,73.63%,0.957,0.83
100,col_classify_matrix_trimed_20200330.csv,3833,color_way,1350,0.1,73,192,5,1,106,68.87%,0.936,0.79
101,col_classify_matrix_trimed_20200330.csv,3833,color_way,1350,0.1,64,198,10,0,96,66.67%,0.865,0.75
102,col_classify_matrix_trimed_20200330.csv,3833,color_way,1350,0.1,69,202,4,2,97,71.13%,0.945,0.81
103,col_classify_matrix_trimed_20200330.csv,3833,color_way,1350,0.1,74,195,6,0,100,74.00%,0.925,0.82
104,col_classify_matrix_trimed_20200330.csv,3833,color_way,1350,0.1,68,190,4,1,102,66.67%,0.944,0.78
105,col_classify_matrix_trimed_20200330.csv,3833,color_way,900,0.1,76,203,5,3,108,70.37%,0.938,0.8
106,col_classify_matrix_trimed_20200330.csv,3833,color_way,900,0.1,80,170,5,0,112,71.43%,0.941,0.81
107,col_classify_matrix_trimed_20200330.csv,3833,color_way,900,0.1,67,205,4,0,90,74.44%,0.944,0.83
108,col_classify_matrix_trimed_20200330.csv,3833,color_way,900,0.1,75,190,4,2,106,70.75%,0.949,0.81
109,col_classify_matrix_trimed_20200330.csv,3833,color_way,900,0.1,64,208,3,1,99,64.65%,0.955,0.77
110,col_classify_matrix_trimed_20200330.csv,3833,color_way,900,0.1,65,207,7,0,88,73.86%,0.903,0.81
111,col_classify_matrix_trimed_20200330.csv,3833,color_way,900,0.1,83,181,3,1,105,79.05%,0.965,0.87
112,col_classify_matrix_trimed_20200330.csv,3833,color_way,900,0.1,78,198,4,0,103,75.73%,0.951,0.84
113,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,color_way,900,0.1,65,203,8,0,90,72.22%,0.89,0.8
114,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,color_way,900,0.1,71,208,8,0,100,71.00%,0.899,0.79
115,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,item,900,0.1,28,215,20,7,35,80.00%,0.583,0.67
116,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,description,900,0.1,13,221,15,10,23,56.52%,0.464,0.51
117,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,spec,900,0.1,18,253,6,1,22,81.82%,0.75,0.78
118,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,position,900,0.1,36,219,2,3,39,92.31%,0.947,0.94
119,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,color_way,900,0.1,81,197,5,0,107,75.70%,0.942,0.84
120,col_classify_matrix_trimed_20200330_double_the_True_description.csv,6473,description,900,0.1,249,206,49,38,288,86.46%,0.836,0.85
121,col_classify_matrix_trimed_20200330_double_the_True_description.csv,6473,description,900,0.1,262,198,40,30,296,88.51%,0.868,0.88
122,col_classify_matrix_trimed_20200330_double_the_True_description.csv,6473,description,900,0.1,231,203,45,36,273,84.62%,0.8370000000000001,0.84
123,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,6473,description,900,0.1,243,200,43,35,278,87.41%,0.85,0.86
124,col_classify_matrix_trimed_delete-none-material-col_20200404.csv,3820,color_way,900,0.1,75,186,3,0,100,75.00%,0.962,0.84
